Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-234.96768,49.23942,-150.81238,-318.0743,1000.0,0,,,,,,,,,,,,
,,,,,999,-328.10803,1000,,,,,,,,,,
,,,,,1999,-349.85712,1000,,,,,,,,,,
,,,,,2999,-206.89197,1000,,,,,,,,,,
,,,,,3999,-232.19643,1000,,,,,,,,,,
,,,,,4999,-208.6967,1000,,,,,,,,,,
-218.1554,71.878845,-64.182365,-288.21286,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-253.46233,1000,,,,,,,,,,
,,,,,6999,-216.10416,1000,,,,,,,,,,
,,,,,7999,-230.72156,1000,,,,,,,,,,
,,,,,8999,-192.65466,1000,,,,,,,,,,
,,,,,9999,-313.59222,1000,,,,,,,,,,
-225.3256,40.14181,-166.24529,-283.96735,1000.0,10000,,,-0.15236987173557281,3.7545318603515625,0.4299051761627197,-0.009060208685696125,-0.10742925107479095,0.04999999701976776,-29.035337448120117,0.0003,0.0003,0.04999500513076782
,,,,,10999,-241.95076,1000,,,,,,,,,,
,,,,,11000,,,-1.574737787246704,0.569058895111084,0.3370586931705475,1.0108308792114258,1.0042641162872314,0.04553498327732086,-21.41778564453125,0.0003,0.0003,0.04553070664405823
,,,,,11999,-270.9921,1000,,,,,,,,,,
,,,,,12000,,,-2.0142621994018555,1.4972138404846191,0.6272959113121033,1.6293447017669678,1.6197216510772705,0.04099838063120842,-24.434490203857422,0.0003,0.0003,0.04099418967962265
,,,,,12999,-215.69797,1000,,,,,,,,,,
,,,,,13000,,,-2.4266998767852783,0.1305326670408249,0.587712287902832,1.9938422441482544,1.9228800535202026,0.0373082309961319,-19.28728485107422,0.0003,0.0003,0.03730501979589462
,,,,,13999,-212.84166,1000,,,,,,,,,,
,,,,,14000,,,-4.041308879852295,-0.446354478597641,0.6292800307273865,3.316476345062256,3.443039655685425,0.03419313207268715,-18.296558380126953,0.0003,0.0003,0.03419012203812599
,,,,,14999,-147.27498,1000,,,,,,,,,,
-40.11292,30.801657,11.508805,-100.51757,1000.0,15000,,,-6.334844589233398,-1.006693959236145,0.5953577756881714,5.580440521240234,5.592469215393066,0.031277257949113846,-16.73061752319336,0.0003,0.0003,0.031274523586034775
,,,,,15999,26.460218,1000,,,,,,,,,,
,,,,,16000,,,-8.245464324951172,-1.4956109523773193,0.4935121536254883,7.424717903137207,7.624621391296387,0.028603745624423027,-15.493104934692383,0.0003,0.0003,0.028601134195923805
,,,,,16999,83.94136,1000,,,,,,,,,,
,,,,,17000,,,-9.752824783325195,-1.8252081871032715,0.5975574254989624,8.911148071289062,9.035396575927734,0.02621070109307766,-14.074377059936523,0.0003,0.0003,0.026208458468317986
,,,,,17999,83.725624,1000,,,,,,,,,,
,,,,,18000,,,-11.954413414001465,-2.665048360824585,0.4394608438014984,11.179707527160645,11.17064094543457,0.024033289402723312,-11.880322456359863,0.0003,0.0003,0.02403130754828453
,,,,,18999,85.73551,1000,,,,,,,,,,
,,,,,19000,,,-13.210430145263672,-2.517617702484131,0.4456387758255005,12.371576309204102,12.444023132324219,0.022089222446084023,-13.301331520080566,0.0003,0.0003,0.022087305784225464
,,,,,19999,417.11707,1000,,,,,,,,,,
677.28284,179.34148,987.4377,396.91183,1000.0,20000,,,-14.366103172302246,-4.2049946784973145,0.466420978307724,13.62038803100586,13.766849517822266,0.020541803911328316,-6.568776607513428,0.0003,0.0003,0.020540541037917137
,,,,,20999,553.30493,1000,,,,,,,,,,
,,,,,21000,,,-18.705846786499023,-5.306593894958496,0.5246714353561401,17.964725494384766,18.022539138793945,0.019424349069595337,-3.613640308380127,0.0003,0.0003,0.019423482939600945
,,,,,21999,987.6625,1000,,,,,,,,,,
,,,,,22000,,,-20.343141555786133,-5.869532585144043,0.39677292108535767,19.434856414794922,19.48644256591797,0.018786177039146423,-0.6836600303649902,0.0003,0.0003,0.018785715103149414
,,,,,22999,226.7712,1000,,,,,,,,,,
,,,,,23000,,,-20.90118980407715,-5.79573392868042,0.47994372248649597,20.154348373413086,20.291845321655273,0.018199294805526733,-2.765672206878662,0.0003,0.0003,0.018198391422629356
,,,,,23999,1305.1604,1000,,,,,,,,,,
,,,,,24000,,,-24.868932723999023,-5.60731840133667,0.7230983972549438,24.13091278076172,24.156993865966797,0.017316827550530434,-1.763421893119812,0.0003,0.0003,0.017316266894340515
,,,,,24999,1251.1918,1000,,,,,,,,,,
1293.1624,362.33698,1522.1119,516.5844,1000.0,25000,,,-31.268796920776367,-6.134696960449219,0.53987717628479,30.26700782775879,30.463274002075195,0.01734665408730507,0.9399124383926392,0.0003,0.0003,0.01734728366136551
,,,,,25999,1413.6501,1000,,,,,,,,,,
,,,,,26000,,,-35.52781677246094,-6.308289527893066,0.5237240791320801,34.471343994140625,34.49338150024414,0.018565895035862923,1.1804535388946533,0.0003,0.0003,0.01856750249862671
,,,,,26999,1505.6439,1000,,,,,,,,,,
