strategy,annual_return,annual_volatility,sharpe_ratio,max_drawdown,cumulative_return,turnover
IQL,0.02672833617507567,0.07461740967344876,0.3582050930479628,0.13775727149882908,0.10596298984903263,0.17366186347882404
Equal Weight,0.07062317142329565,0.07409121785539596,0.9531922064114413,0.11876914633858349,0.33076771053541054,0.0
Momentum,0.0705726237772238,0.07409219859118335,0.9524973630033655,0.11876302270769278,0.33048411660642185,0.00012825476984723946
Risk Parity,0.04648659168909008,0.04002339555331634,1.1614854523565827,0.06303687296409681,0.21207558533007376,0.01019029638495993
