Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,3491,83.0,83,,,,,,
,,,,,3525,34.0,34,,,,,,
,,,,,3550,25.0,25,,,,,,
,,,,,3560,10.0,10,,,,,,
,,,,,3583,23.0,23,,,,,,
,,,,,3602,19.0,19,,,,,,
,,,,,3627,25.0,25,,,,,,
,,,,,3656,29.0,29,,,,,,
,,,,,3679,23.0,23,,,,,,
,,,,,3703,24.0,24,,,,,,
,,,,,3720,17.0,17,,,,,,
,,,,,3743,23.0,23,,,,,,
,,,,,3768,25.0,25,,,,,,
,,,,,3783,15.0,15,,,,,,
,,,,,3804,21.0,21,,,,,,
,,,,,3822,18.0,18,,,,,,
,,,,,3852,30.0,30,,,,,,
,,,,,3861,9.0,9,,,,,,
,,,,,3871,10.0,10,,,,,,
,,,,,3919,48.0,48,,,,,,
,,,,,3942,23.0,23,,,,,,
,,,,,3965,23.0,23,,,,,,
,,,,,3987,22.0,22,,,,,,
,,,,,4000,,,0.07880673557519913,3.0287368297576904,3.044717788696289,0.25581416487693787,0.88,0.0005
,,,,,4008,21.0,21,,,,,,
,,,,,4042,34.0,34,,,,,,
,,,,,4071,29.0,29,,,,,,
,,,,,4099,28.0,28,,,,,,
,,,,,4155,56.0,56,,,,,,
,,,,,4174,19.0,19,,,,,,
,,,,,4227,53.0,53,,,,,,
,,,,,4246,19.0,19,,,,,,
,,,,,4275,29.0,29,,,,,,
,,,,,4294,19.0,19,,,,,,
,,,,,4344,50.0,50,,,,,,
,,,,,4358,14.0,14,,,,,,
,,,,,4373,15.0,15,,,,,,
,,,,,4449,76.0,76,,,,,,
,,,,,4549,100.0,100,,,,,,
,,,,,4590,41.0,41,,,,,,
,,,,,4640,50.0,50,,,,,,
,,,,,4657,17.0,17,,,,,,
,,,,,4670,13.0,13,,,,,,
,,,,,4701,31.0,31,,,,,,
,,,,,4753,52.0,52,,,,,,
,,,,,4796,43.0,43,,,,,,
,,,,,4808,12.0,12,,,,,,
,,,,,4817,9.0,9,,,,,,
,,,,,4848,31.0,31,,,,,,
,,,,,4865,17.0,17,,,,,,
,,,,,4881,16.0,16,,,,,,
,,,,,4895,14.0,14,,,,,,
,,,,,4922,27.0,27,,,,,,
144.2,22.741154,182.0,114.0,144.2,5000,,,0.14012876152992249,3.950465440750122,3.9136672019958496,0.40527012944221497,0.85,0.0005
,,,,,5009,87.0,87,,,,,,
,,,,,5030,21.0,21,,,,,,
,,,,,5050,20.0,20,,,,,,
,,,,,5090,40.0,40,,,,,,
,,,,,5124,34.0,34,,,,,,
,,,,,5198,74.0,74,,,,,,
,,,,,5214,16.0,16,,,,,,
,,,,,5227,13.0,13,,,,,,
,,,,,5238,11.0,11,,,,,,
,,,,,5248,10.0,10,,,,,,
,,,,,5304,56.0,56,,,,,,
,,,,,5319,15.0,15,,,,,,
,,,,,5338,19.0,19,,,,,,
,,,,,5348,10.0,10,,,,,,
,,,,,5395,47.0,47,,,,,,
