critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
1.005016803741455,0.034912109375,0.166015625,-0.154296875,1.4984040260314941,15.675244331359863,15.446728706359863,0.228515625,0.4933268427848816,0
0.9704561829566956,-39.5,-3.90625,-40.5,0.7058122158050537,40.304542541503906,0.8045428395271301,39.5,0.36117610335350037,10000
1.6923282146453857,-62.75,-0.055419921875,-63.75,0.598700761795044,63.65936279296875,0.9093629121780396,62.75,0.3080538213253021,20000
0.7318036556243896,-72.5,0.302734375,-73.5,0.6012475490570068,72.804931640625,0.8049296736717224,72.0,0.2816469967365265,30000
0.8292999863624573,-79.5,-12.125,-80.5,0.5940367579460144,80.22801208496094,0.7280147075653076,79.5,0.266360878944397,40000
3.274958610534668,-83.5,-0.2109375,-86.0,0.5438703298568726,84.27702331542969,0.7770211696624756,83.5,0.2646430730819702,50000
4.006272792816162,-87.0,-59.75,-87.5,0.5514334440231323,87.79122161865234,0.7912197709083557,87.0,0.2388322800397873,60000
4.237964630126953,-87.0,-0.026611328125,-88.0,0.4798981845378876,87.7533950805664,0.7533947229385376,87.0,0.22873333096504211,70000
1.0632684230804443,-88.5,0.2099609375,-90.0,0.5430333614349365,89.27545166015625,0.7754504680633545,88.5,0.2555018365383148,80000
1.2806792259216309,-89.5,-4.84375,-90.5,0.503615140914917,90.32901000976562,0.8290104866027832,89.5,0.23423492908477783,90000
4.529251575469971,-89.0,-0.1953125,-90.5,0.49546051025390625,89.34368133544922,0.8436797261238098,88.5,0.2446148842573166,100000
2.614978075027466,-89.5,0.294921875,-90.5,0.47221171855926514,89.89637756347656,0.8963786363601685,89.0,0.22418279945850372,110000
2.9710872173309326,-90.0,-15.4375,-91.0,0.5226776599884033,90.88147735595703,0.8814778327941895,90.0,0.23111361265182495,120000
0.3817828297615051,-90.5,-54.75,-91.0,0.486280620098114,91.39488983154297,0.8948935270309448,90.5,0.20863932371139526,130000
0.20240327715873718,-90.5,1.0859375,-91.5,0.5208632349967957,91.41783905029297,0.9178417921066284,90.5,0.19722600281238556,140000
0.39550745487213135,-90.0,-3.375,-91.0,0.47607484459877014,91.38988494873047,0.88988196849823,90.5,0.21904675662517548,150000
2.9310805797576904,-89.5,0.17578125,-91.0,0.5340086221694946,90.31095886230469,0.8109625577926636,89.5,0.21464680135250092,160000
2.347069263458252,-89.0,0.08837890625,-91.5,0.5278093218803406,89.8207778930664,0.82077956199646,89.0,0.21960628032684326,170000
1.7808839082717896,-89.5,0.56640625,-91.5,0.4569567143917084,90.21572875976562,0.7157307267189026,89.5,0.20554734766483307,180000
0.5522177815437317,-90.5,-5.84375,-91.5,0.4950318932533264,91.41175842285156,0.9117618799209595,90.5,0.20847728848457336,190000
0.5951427221298218,-90.0,-0.33203125,-91.5,0.48829126358032227,90.7862777709961,0.7862760424613953,90.0,0.20915275812149048,200000
0.370286226272583,-90.5,-0.4296875,-91.5,0.4612354338169098,90.7852783203125,0.785275936126709,90.0,0.20845676958560944,210000
0.32556045055389404,-91.0,-63.0,-91.5,0.4742891192436218,91.90760803222656,0.9076091051101685,91.0,0.19921860098838806,220000
0.6469545364379883,-90.5,0.353515625,-91.5,0.4548431634902954,90.83204650878906,0.8320457935333252,90.0,0.20181860029697418,230000
0.8890202045440674,-89.5,-6.9375,-91.0,0.46734705567359924,90.3386459350586,0.8386454582214355,89.5,0.21947795152664185,240000
