strategy,annual_return,annual_volatility,sharpe_ratio,max_drawdown,cumulative_return,turnover
IQL,0.026259413764435247,0.07498449468013335,0.3501979159351794,0.13986331377102457,0.10365619287250416,0.17398918401080557
Equal Weight,0.07062317142329565,0.07409121785539596,0.9531922064114413,0.11876914633858349,0.33076771053541054,0.0
Momentum,0.0705726237772238,0.07409219859118335,0.9524973630033655,0.11876302270769278,0.33048411660642185,0.00012825476984723946
Risk Parity,0.04648659168909008,0.04002339555331634,1.1614854523565827,0.06303687296409681,0.21207558533007376,0.01019029638495993
