strategy,annual_return,annual_volatility,sharpe_ratio,max_drawdown,cumulative_return,turnover
IQL,0.027652723849330638,0.07469981863446941,0.3701846183140611,0.1377906501350226,0.11024300569493728,0.1717091304469041
Equal Weight,0.07062317142329565,0.07409121785539596,0.9531922064114413,0.11876914633858349,0.33076771053541054,0.0
Momentum,0.0705726237772238,0.07409219859118335,0.9524973630033655,0.11876302270769278,0.33048411660642185,0.00012825476984723946
Risk Parity,0.04648659168909008,0.04002339555331634,1.1614854523565827,0.06303687296409681,0.21207558533007376,0.01019029638495993
