value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.0020474749617278576,-0.0927734375,0.142578125,-0.2216796875,0.750822126865387,-0.014404296875,0.1728515625,-0.1591796875,7.648348808288574,0.5211185812950134,0
0.015566918067634106,-36.25,0.05322265625,-38.25,0.12875151634216309,-37.0,0.4765625,-39.0,7.114010334014893,0.11431558430194855,10000
0.13116736710071564,-53.75,0.038330078125,-60.25,0.9820331335067749,-54.25,-0.6953125,-60.5,6.958452224731445,0.09793666005134583,20000
0.07074250280857086,-61.75,-0.09521484375,-71.0,2.3487257957458496,-62.25,0.1650390625,-71.0,5.754093647003174,0.1068207174539566,30000
0.1388443112373352,-63.75,-0.466796875,-76.0,0.8307509422302246,-63.75,-0.15234375,-76.5,7.1112165451049805,0.10406255722045898,40000
0.07896445691585541,-62.5,-0.26953125,-78.0,0.5584720373153687,-62.75,0.034423828125,-78.5,5.737978935241699,0.09744560718536377,50000
0.20112136006355286,-59.5,-0.06005859375,-79.0,0.9891308546066284,-59.75,0.150390625,-79.0,7.655472755432129,0.10906174033880234,60000
0.22115041315555573,-61.25,-0.431640625,-79.5,1.2862567901611328,-61.75,-0.58984375,-79.5,6.178805351257324,0.10033799707889557,70000
0.07956652343273163,-62.5,-0.5,-80.0,0.5864741206169128,-62.75,-0.66015625,-80.5,6.131986141204834,0.10079579800367355,80000
0.24021264910697937,-62.25,-0.05029296875,-81.0,0.8763020038604736,-62.75,0.1689453125,-81.0,6.001689910888672,0.10684329271316528,90000
0.19270238280296326,-63.25,-0.40234375,-81.5,1.6707159280776978,-63.75,-0.8046875,-81.5,5.135045528411865,0.10763475298881531,100000
0.45232295989990234,-60.5,-0.396484375,-83.0,7.937411308288574,-60.75,-0.29296875,-83.0,9.543065071105957,0.09749547392129898,110000
0.1454230546951294,-63.25,-0.240234375,-84.0,2.3661880493164062,-63.75,-0.0458984375,-84.0,5.969043254852295,0.09123183786869049,120000
0.10344867408275604,-62.25,-0.66796875,-84.0,0.6487878561019897,-62.25,-1.046875,-84.0,6.44802188873291,0.10085829347372055,130000
0.3872517943382263,-64.5,-0.9609375,-85.0,0.8583561182022095,-64.5,-0.341796875,-84.5,12.48160171508789,0.10054058581590652,140000
0.1829203963279724,-62.25,-0.71875,-85.5,1.1497995853424072,-62.5,-0.322265625,-85.5,6.342668533325195,0.10834859311580658,150000
0.1812351942062378,-63.75,-0.4609375,-85.5,0.9910157322883606,-64.5,-0.37109375,-86.0,6.003733158111572,0.09324882179498672,160000
1.1741220951080322,-64.0,-0.3984375,-86.0,5.925634860992432,-64.5,0.040283203125,-86.0,5.443848609924316,0.1025383248925209,170000
0.3056992292404175,-65.0,-0.8984375,-86.5,0.7030646204948425,-65.5,-0.58203125,-86.5,5.848170280456543,0.09604807943105698,180000
0.10933659225702286,-67.5,-0.3984375,-87.0,0.4657788872718811,-67.5,-0.05078125,-87.0,7.430392742156982,0.09535206854343414,190000
0.19325774908065796,-64.0,-0.4921875,-87.0,1.1825820207595825,-64.5,-0.47265625,-87.0,5.890385627746582,0.08424655348062515,200000
0.1989688128232956,-67.0,-0.51171875,-87.5,1.0678402185440063,-67.5,-0.578125,-87.5,6.774729251861572,0.0999128520488739,210000
0.17284400761127472,-64.5,-0.39453125,-87.5,0.6318854689598083,-65.5,-0.2177734375,-87.5,5.172554016113281,0.09293454885482788,220000
0.8069044947624207,-65.5,-0.5390625,-88.0,1.2465161085128784,-66.0,-0.4453125,-87.5,6.498282432556152,0.10006912797689438,230000
0.273762583732605,-65.5,-0.470703125,-88.0,2.3368096351623535,-66.0,0.058349609375,-88.0,7.264192581176758,0.09508947283029556,240000
0.14782029390335083,-67.0,-4.78125,-88.0,0.7918474078178406,-67.5,-2.921875,-88.0,4.985569000244141,0.09622232615947723,250000
0.19611766934394836,-66.0,0.5234375,-88.0,1.15059494972229,-66.5,0.1328125,-88.0,6.002581596374512,0.09580480307340622,260000
0.09293703734874725,-63.5,-0.2080078125,-88.5,0.9511514902114868,-63.75,0.10302734375,-88.5,6.126819610595703,0.07479988783597946,270000
0.1418791115283966,-67.0,-0.271484375,-88.5,0.880915641784668,-67.5,0.341796875,-88.5,6.091491222381592,0.09916647523641586,280000
