Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,24999,139.41139,1000,,,,,,,,,,
965.1554,152.55276,1144.6572,582.4097,1000.0,25000,,,-20.353160858154297,-6.101271152496338,0.4150252342224121,19.618932723999023,19.62218475341797,0.010140988044440746,1.353093147277832,0.0003,0.0003,0.01014125905930996
,,,,,25999,184.6659,1000,,,,,,,,,,
,,,,,26000,,,-20.02370834350586,-6.222978591918945,0.6392018795013428,19.31204605102539,19.46476173400879,0.010265356861054897,0.8254003524780273,0.0003,0.0003,0.010265317745506763
,,,,,26999,254.98662,1000,,,,,,,,,,
,,,,,27000,,,-18.18377113342285,-5.962650299072266,0.5030984282493591,17.558086395263672,17.624521255493164,0.010425392538309097,-1.6439967155456543,0.0003,0.0003,0.010425257496535778
,,,,,27999,1141.7914,1000,,,,,,,,,,
,,,,,28000,,,-23.029447555541992,-6.5543951988220215,0.49460941553115845,22.323999404907227,22.227893829345703,0.010628814809024334,1.8906100988388062,0.0003,0.0003,0.010629260912537575
,,,,,28999,1126.3796,1000,,,,,,,,,,
,,,,,29000,,,-25.532184600830078,-5.898337364196777,0.5060129165649414,24.757118225097656,24.794450759887695,0.011308419518172741,1.0028239488601685,0.0003,0.0003,0.011308769695460796
,,,,,29999,1286.8405,1000,,,,,,,,,,
1350.6813,24.457785,1387.7441,1308.4297,1000.0,30000,,,-28.945119857788086,-6.589206218719482,0.5089002251625061,28.134963989257812,28.20595359802246,0.01213143952190876,2.673051118850708,0.0003,0.0003,0.012131989002227783
,,,,,30999,1326.9274,1000,,,,,,,,,,
,,,,,31000,,,-36.19733810424805,-5.977853775024414,0.4938663840293884,35.428184509277344,35.38720703125,0.013213790953159332,-0.16575050354003906,0.0003,0.0003,0.013215158134698868
,,,,,31999,1640.0015,1000,,,,,,,,,,
,,,,,32000,,,-38.04538345336914,-6.328302383422852,0.5511981844902039,36.96241760253906,37.07289123535156,0.01465636771172285,1.2499372959136963,0.0003,0.0003,0.014657849445939064
,,,,,32999,1696.7874,1000,,,,,,,,,,
,,,,,33000,,,-41.08226013183594,-6.811688423156738,0.8911762237548828,40.071739196777344,40.18024826049805,0.01631133072078228,2.705739974975586,0.0003,0.0003,0.016313282772898674
,,,,,33999,1790.7697,1000,,,,,,,,,,
,,,,,34000,,,-46.048213958740234,-6.535630226135254,0.9101260304450989,44.824806213378906,44.868125915527344,0.018081853166222572,2.0147604942321777,0.0003,0.0003,0.018083645030856133
,,,,,34999,1833.7885,1000,,,,,,,,,,
1976.9661,79.95532,2076.9478,1791.606,1000.0,35000,,,-52.05509948730469,-6.7462263107299805,0.7251219749450684,50.86345672607422,50.954071044921875,0.01989249512553215,1.6813818216323853,0.0003,0.0003,0.019894268363714218
,,,,,35999,2063.033,1000,,,,,,,,,,
,,,,,36000,,,-56.20179748535156,-6.032754898071289,0.613810658454895,55.037994384765625,55.06290817260742,0.02150591090321541,0.02861332893371582,0.0003,0.0003,0.02150736190378666
,,,,,36999,2165.2878,1000,,,,,,,,,,
,,,,,37000,,,-65.39373016357422,-6.312639236450195,0.7017238140106201,64.2093276977539,64.36695861816406,0.022924596443772316,0.8749862909317017,0.0003,0.0003,0.022925416007637978
,,,,,37999,2248.9258,1000,,,,,,,,,,
,,,,,38000,,,-70.82215881347656,-6.459959030151367,0.6392015218734741,69.57081604003906,69.71672058105469,0.023871608078479767,1.1973097324371338,0.0003,0.0003,0.023873304948210716
,,,,,38999,2340.1426,1000,,,,,,,,,,
,,,,,39000,,,-79.72112274169922,-5.827799320220947,0.5933516025543213,78.55512237548828,78.62151336669922,0.025090092793107033,-0.5359203219413757,0.0003,0.0003,0.025090660899877548
,,,,,39999,2283.8044,1000,,,,,,,,,,
2436.1616,35.06897,2484.0947,2375.424,1000.0,40000,,,-79.57261657714844,-5.702815532684326,0.7766475677490234,78.3203125,78.28077697753906,0.025790607556700706,-2.288750648498535,0.0003,0.0003,0.025790343061089516
,,,,,40999,2409.0908,1000,,,,,,,,,,
,,,,,41000,,,-84.99444580078125,-5.815735816955566,0.7789978981018066,83.74286651611328,83.69451141357422,0.026968995109200478,-1.1982073783874512,0.0003,0.0003,0.02697039768099785
,,,,,41999,2501.9988,1000,,,,,,,,,,
,,,,,42000,,,-90.76139068603516,-6.224029064178467,0.6232180595397949,89.4410629272461,89.413330078125,0.02807755209505558,0.9939685463905334,0.0003,0.0003,0.028078796342015266
,,,,,42999,2522.1013,1000,,,,,,,,,,
,,,,,43000,,,-95.05650329589844,-5.767621040344238,0.6672125458717346,93.79473114013672,93.77666473388672,0.028338579460978508,-1.1058051586151123,0.0003,0.0003,0.028336910530924797
,,,,,43999,2642.5066,1000,,,,,,,,,,
,,,,,44000,,,-100.7783203125,-5.837563514709473,0.5773853063583374,99.23811340332031,99.23271179199219,0.028823690488934517,-1.0153241157531738,0.0003,0.0003,0.028823181986808777
,,,,,44999,2655.8118,1000,,,,,,,,,,
2723.0571,24.361717,2766.6638,2684.0063,1000.0,45000,,,-107.7236557006836,-6.2426652908325195,0.5706408023834229,106.10206604003906,106.07164001464844,0.030176425352692604,1.5511319637298584,0.0003,0.0003,0.030177511274814606
,,,,,45999,2691.5564,1000,,,,,,,,,,
,,,,,46000,,,-116.1760482788086,-6.056150436401367,0.8191016316413879,114.7800521850586,114.92671203613281,0.03079140931367874,-0.2622649073600769,0.0003,0.0003,0.030790727585554123
,,,,,46999,2780.1553,1000,,,,,,,,,,
,,,,,47000,,,-120.15982818603516,-6.403630256652832,0.5907560586929321,118.67859649658203,118.80561828613281,0.03163212537765503,0.7019878625869751,0.0003,0.0003,0.03163440153002739
,,,,,47999,2713.2231,1000,,,,,,,,,,
,,,,,48000,,,-127.95589447021484,-6.041006565093994,0.6721463799476624,126.59901428222656,126.59709167480469,0.033009789884090424,-0.8440608978271484,0.0003,0.0003,0.03301073983311653
,,,,,48999,2868.423,1000,,,,,,,,,,
,,,,,49000,,,-130.45668029785156,-6.458640098571777,0.5911049842834473,128.88450622558594,129.02752685546875,0.033173009753227234,1.2962908744812012,0.0003,0.0003,0.03317292034626007
,,,,,49999,2922.422,1000,,,,,,,,,,
2797.8289,124.37814,2966.9846,2619.4495,1000.0,50000,,,-136.3662567138672,-6.208725929260254,0.6427152156829834,134.57138061523438,134.63143920898438,0.033701784908771515,0.6619029641151428,0.0003,0.0003,0.03370162472128868
,,,,,50999,2869.2622,1000,,,,,,,,,,
,,,,,51000,,,-143.3249969482422,-5.857407569885254,0.839607834815979,141.68394470214844,141.7723388671875,0.03400135785341263,-0.5295807719230652,0.0003,0.0003,0.03400033712387085
,,,,,51999,2921.487,1000,,,,,,,,,,
