experiment_id,expectile,beta,transaction_cost,best_val_sharpe,best_val_step,test_annual_return,test_annual_volatility,test_sharpe_ratio,test_max_drawdown,test_cumulative_return,test_turnover
iql_exp_tau0.7_beta1.0_tc0.001,0.7,1.0,0.001,0.6162176650511463,1000,0.027652723849330638,0.07469981863446941,0.3701846183140611,0.1377906501350226,0.11024300569493728,0.1717091304469041
iql_exp_tau0.7_beta1.0_tc0.005,0.7,1.0,0.005,-2.153617163435858,1000,-0.14540627523055472,0.07467401298344924,-1.9472138890243196,0.4641587340926977,-0.4639600326252583,0.1717091304469041
iql_exp_tau0.7_beta3.0_tc0,0.7,3.0,0,1.3259339466467874,1000,0.07009911330330333,0.07502705666402103,0.9343177837458619,0.11637531358645083,0.32709083758709423,0.17398918401080557
iql_exp_tau0.7_beta3.0_tc0.001,0.7,3.0,0.001,0.6257421061045773,1000,0.026259413764435247,0.07498449468013335,0.3501979159351794,0.13986331377102457,0.10365619287250416,0.17398918401080557
iql_exp_tau0.7_beta3.0_tc0.005,0.7,3.0,0.005,-2.188638918112713,1000,-0.1490993843910371,0.0749715602064677,-1.988745918858102,0.472451186160035,-0.4722775821075613,0.17398918401080557
iql_exp_tau0.7_beta10.0_tc0,0.7,10.0,0,1.3196641955435062,1000,0.07036384346374595,0.07468467729302673,0.9421456450520915,0.11446294346134399,0.3287125467088212,0.17312737987697743
iql_exp_tau0.7_beta10.0_tc0.001,0.7,10.0,0.001,0.6217121879853909,1000,0.02673984157242614,0.07463604802120677,0.3582697943067457,0.13772382110068393,0.1060100927461427,0.17312737987697743
iql_exp_tau0.7_beta10.0_tc0.005,0.7,10.0,0.005,-2.187227432565045,1000,-0.14775616599285318,0.07459954994951366,-1.980657605747613,0.46938274388316087,-0.4692233511538032,0.17312737987697743
iql_exp_tau0.8_beta1.0_tc0,0.8,1.0,0,1.312681637167627,1000,0.07014557124945252,0.074768456275418,0.9381706503483692,0.11483134922193106,0.3274583049239834,0.17480548065264795
iql_exp_tau0.8_beta1.0_tc0.001,0.8,1.0,0.001,0.6163536750545331,1000,0.026098289155993278,0.07472092093963177,0.34927686687746407,0.1378350823772801,0.10300013904176208,0.17480548065264795
iql_exp_tau0.8_beta1.0_tc0.005,0.8,1.0,0.005,-2.1801715917854163,1000,-0.15009083921784372,0.07469383842035249,-2.009413927467238,0.4745889338914075,-0.4744290201410587,0.17480548065264795
iql_exp_tau0.8_beta3.0_tc0,0.8,3.0,0,1.2915555665093172,1000,0.07051600687501844,0.07485799640999351,0.9419969843810112,0.11447026858582957,0.32949051021689013,0.17436293988181692
iql_exp_tau0.8_beta3.0_tc0.001,0.8,3.0,0.001,0.5885439756219706,1000,0.02658185416371072,0.07480977361150518,0.35532595382193,0.13740277185066493,0.10521503139900723,0.17436293988181692
iql_exp_tau0.8_beta3.0_tc0.005,0.8,3.0,0.005,-2.2345973444850986,1000,-0.14915475668152006,0.0747743429527488,-1.994731759472277,0.47253812797790323,-0.47236753659915154,0.17436293988181692
iql_exp_tau0.8_beta10.0_tc0,0.8,10.0,0,1.3180781414097986,1000,0.07056924001472936,0.07489850581576593,0.9421982354135928,0.11580339771915422,0.32977150091642904,0.17371568038736007
iql_exp_tau0.8_beta10.0_tc0.001,0.8,10.0,0.001,0.6214111289883785,1000,0.02679816179801965,0.07484882959029175,0.35803047214909967,0.13874529571287098,0.10620760059379752,0.17371568038736007
iql_exp_tau0.8_beta10.0_tc0.005,0.8,10.0,0.005,-2.180710177526274,1000,-0.14828615106881918,0.07480815794785958,-1.9822189870277638,0.4706326434283098,-0.47044068694732977,0.17371568038736007
