critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
0.9977182149887085,0.0693359375,0.2216796875,-0.1005859375,-4.130579471588135,0.162109375,0.7468768358230591,-5.039767742156982,0.7468768358230591,9.260589599609375,0.9997000694274902,0
0.1670011281967163,-37.5,-0.94140625,-40.25,37.5098762512207,37.5,0.4945542514324188,-0.3706996738910675,0.4945542514324188,0.7521124482154846,0.09838741272687912,10000
0.3423073887825012,-45.25,-0.083984375,-63.5,44.89095687866211,44.5,0.34999987483024597,0.05938037857413292,0.34999987483024597,0.009540723636746407,0.018536681309342384,20000
0.27875176072120667,-48.75,0.5625,-71.5,48.63727951049805,48.25,0.297471821308136,0.05763643980026245,0.297471821308136,0.0029829861596226692,0.014334683306515217,30000
0.19760453701019287,-53.75,-0.154296875,-76.5,53.64104461669922,53.25,0.3008248209953308,0.05086260288953781,0.3008248209953308,-0.00016091339057311416,0.01319765206426382,40000
0.16267849504947662,-56.75,0.1376953125,-80.0,56.664939880371094,56.25,0.24456962943077087,0.054542239755392075,0.24456962943077087,-0.0009403780568391085,0.013252699747681618,50000
0.23288454115390778,-54.75,0.09375,-82.0,54.890411376953125,54.5,0.24293336272239685,0.05178637430071831,0.24293336272239685,-0.0008813549065962434,0.013365146704018116,60000
0.22900496423244476,-58.75,-0.482421875,-85.0,58.78784942626953,58.5,0.2524070143699646,0.05872870236635208,0.2524070143699646,-0.0029142245184630156,0.01348282303661108,70000
0.1860262155532837,-59.0,-0.69140625,-86.0,59.071937561035156,58.75,0.2835504114627838,0.05654583498835564,0.2835504114627838,0.0013836213620379567,0.013555610552430153,80000
0.24643002450466156,-59.5,0.1943359375,-88.5,59.493473052978516,59.0,0.32005375623703003,0.054558027535676956,0.32005375623703003,-0.004062763415277004,0.013668124563992023,90000
0.25822633504867554,-60.75,-0.7109375,-87.0,60.52129364013672,60.25,0.2775338590145111,0.05028461292386055,0.2775338590145111,0.0009074485278688371,0.013222740963101387,100000
0.44261434674263,-58.75,-0.201171875,-91.0,58.618736267089844,58.25,0.24179695546627045,0.05510042980313301,0.24179695546627045,-0.00039746297989040613,0.013196878135204315,110000
0.192146435379982,-61.75,0.044921875,-88.0,61.60682678222656,61.25,0.2460123598575592,0.05434709042310715,0.2460123598575592,0.000911922543309629,0.013014272786676884,120000
0.2031460702419281,-60.25,-0.4296875,-85.0,60.304256439208984,60.0,0.25555187463760376,0.05151169374585152,0.25555187463760376,-0.00120631605386734,0.013113274239003658,130000
0.18619254231452942,-63.25,-0.0986328125,-91.5,63.156585693359375,62.75,0.2595396339893341,0.04922367259860039,0.2595396339893341,0.0027679873164743185,0.012831776402890682,140000
0.1627068966627121,-59.5,0.3203125,-93.0,59.56542205810547,59.25,0.2709302306175232,0.05652958154678345,0.2709302306175232,-0.0003826675529126078,0.012981726787984371,150000
0.17055487632751465,-61.5,-0.052734375,-90.5,61.49110794067383,61.25,0.2704566419124603,0.05320606380701065,0.2704566419124603,0.0019217293011024594,0.013142231851816177,160000
