Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-272.70038,80.33831,-131.57365,-393.8968,1000.0,0,,,,,,,,,,,,
,,,,,999,-360.8123,1000,,,,,,,,,,
,,,,,1999,-164.66695,1000,,,,,,,,,,
,,,,,2999,-327.19324,1000,,,,,,,,,,
,,,,,3999,-214.03935,1000,,,,,,,,,,
,,,,,4999,-284.7818,1000,,,,,,,,,,
-236.96713,66.811455,-114.14066,-343.3126,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-270.6275,1000,,,,,,,,,,
,,,,,6999,-207.64842,1000,,,,,,,,,,
,,,,,7999,-177.27885,1000,,,,,,,,,,
,,,,,8999,-142.2773,1000,,,,,,,,,,
,,,,,9999,-273.68298,1000,,,,,,,,,,
-258.81558,55.747375,-165.64587,-327.13684,1000.0,10000,,,-3.7934114933013916,3.765474796295166,12.18506908416748,-0.013707958161830902,3.3404924869537354,1.0,-0.0,0.0003,0.0003,0.9998999834060669
,,,,,10999,-193.64215,1000,,,,,,,,,,
,,,,,11000,,,-22.738157272338867,4.084231376647949,0.8070752620697021,18.994043350219727,19.070505142211914,0.9046227335929871,-1.011133074760437,0.0003,0.0003,0.9045320153236389
,,,,,11999,-284.6388,1000,,,,,,,,,,
,,,,,12000,,,-36.94855499267578,4.055634498596191,0.9047709703445435,33.62022399902344,33.735137939453125,0.8184325098991394,-2.0241780281066895,0.0003,0.0003,0.818350613117218
,,,,,12999,-206.68634,1000,,,,,,,,,,
,,,,,13000,,,-48.80775451660156,4.067751407623291,1.3871670961380005,45.67430114746094,45.702823638916016,0.7405859231948853,-3.0242977142333984,0.0003,0.0003,0.7405118942260742
,,,,,13999,-322.8133,1000,,,,,,,,,,
,,,,,14000,,,-59.08055877685547,3.976421356201172,1.5303592681884766,56.31697082519531,56.37004852294922,0.6703118681907654,-4.000231742858887,0.0003,0.0003,0.6702450513839722
,,,,,14999,-236.10701,1000,,,,,,,,,,
-165.77113,32.049274,-119.23338,-212.34741,1000.0,15000,,,-68.1407699584961,3.8591115474700928,1.376878261566162,65.52033996582031,65.55195617675781,0.6068804860115051,-4.90728759765625,0.0003,0.0003,0.6068202257156372
,,,,,15999,-197.9221,1000,,,,,,,,,,
