critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,bc_actor/loss,onestep_actor/total_loss,onestep_actor/distill_loss,onestep_actor/q_loss,onestep_actor/mse,step
0.9839680194854736,-0.03271484375,0.05419921875,-0.1318359375,1.1644842624664307,513.2116088867188,513.0123901367188,0.19921875,0.19301153719425201,0
0.550750195980072,-38.75,-0.040283203125,-40.0,0.18808048963546753,42.78971481323242,4.0397138595581055,38.75,0.03004019893705845,10000
1.0451064109802246,-62.0,0.1083984375,-63.75,0.17586883902549744,64.4582748413086,2.4582772254943848,62.0,0.03192706033587456,20000
3.550286293029785,-71.0,0.3203125,-75.0,0.19042925536632538,73.1466064453125,2.1466102600097656,71.0,0.0367266908288002,30000
6.110714912414551,-75.0,0.07080078125,-82.0,0.16447988152503967,76.0461654663086,1.5461649894714355,74.5,0.032345738261938095,40000
9.11398696899414,-72.0,0.2197265625,-84.5,0.17555919289588928,74.38834381103516,2.388345956802368,72.0,0.029330004006624222,50000
4.675293922424316,-68.0,0.404296875,-83.5,0.1870112419128418,69.72724914550781,1.7272520065307617,68.0,0.03411198407411575,60000
2.3286778926849365,-65.5,0.171875,-81.5,0.17656108736991882,66.7845458984375,1.7845486402511597,65.0,0.02730104885995388,70000
3.5521368980407715,-63.75,0.39453125,-80.5,0.1799091100692749,65.2279281616211,2.2279317378997803,63.0,0.030522674322128296,80000
2.5502548217773438,-61.0,0.314453125,-79.0,0.1447821408510208,62.76667404174805,2.0166752338409424,60.75,0.03404242545366287,90000
14.594199180603027,-62.0,-1.0859375,-77.5,0.15291497111320496,65.4222412109375,3.172243595123291,62.25,0.02555994689464569,100000
2.8930773735046387,-60.75,0.4921875,-76.0,0.1313580870628357,63.63562774658203,2.8856289386749268,60.75,0.027524560689926147,110000
2.444566249847412,-59.75,2.90625,-76.5,0.14291206002235413,61.86827087402344,2.118269443511963,59.75,0.023387927561998367,120000
4.259672164916992,-59.25,0.0081787109375,-76.5,0.1908928006887436,59.95273971557617,0.952741265296936,59.0,0.02747984603047371,130000
5.294665336608887,-58.0,0.28515625,-77.0,0.15406683087348938,59.3922233581543,1.3922227621078491,58.0,0.025178605690598488,140000
4.152292728424072,-58.75,-0.07421875,-77.5,0.18270070850849152,61.209800720214844,2.7098026275634766,58.5,0.02208827994763851,150000
2.4677810668945312,-55.75,0.45703125,-74.5,0.20838621258735657,56.721527099609375,1.2215266227722168,55.5,0.023619120940566063,160000
7.81585693359375,-56.0,2.53125,-73.0,0.22182366251945496,58.04652404785156,2.546523332595825,55.5,0.03549361228942871,170000
2.660085916519165,-56.0,0.439453125,-72.5,0.1861872673034668,56.895320892333984,1.1453224420547485,55.75,0.024907654151320457,180000
4.897063255310059,-54.5,0.1796875,-74.5,0.18205146491527557,55.4073371887207,1.157336950302124,54.25,0.025985825806856155,190000
3.1341938972473145,-56.75,0.39453125,-73.0,0.18180891871452332,58.229148864746094,1.729149580001831,56.5,0.028805578127503395,200000
5.466876029968262,-56.25,0.32421875,-73.0,0.16342923045158386,57.973045349121094,2.223045587539673,55.75,0.030876850709319115,210000
4.881779670715332,-54.5,0.35546875,-76.5,0.19627000391483307,55.10028839111328,1.350288987159729,53.75,0.03192249685525894,220000
4.909394264221191,-50.5,2.5625,-70.5,0.18771657347679138,52.30439758300781,2.0543956756591797,50.25,0.026860130950808525,230000
3.588289737701416,-52.75,0.2001953125,-70.5,0.18389537930488586,55.39093780517578,3.1409385204315186,52.25,0.03329921513795853,240000
3.677243947982788,-52.75,1.0234375,-75.5,0.16997948288917542,53.32864761352539,1.0786468982696533,52.25,0.024781202897429466,250000
4.8376874923706055,-52.25,-0.028564453125,-71.5,0.1998889297246933,53.55771255493164,2.0577139854431152,51.5,0.029959440231323242,260000
6.325010299682617,-51.25,0.99609375,-69.5,0.17818495631217957,53.10020446777344,1.8502031564712524,51.25,0.03463522717356682,270000
5.163251876831055,-51.5,1.1171875,-69.0,0.15373066067695618,52.37993240356445,1.1299316883087158,51.25,0.025735914707183838,280000
5.19989013671875,-49.0,0.67578125,-75.0,0.1289743185043335,51.81468963623047,3.3146889209747314,48.5,0.028921207413077354,290000
4.442293167114258,-49.75,0.359375,-74.5,0.18055221438407898,52.32733154296875,3.077329635620117,49.25,0.030666206032037735,300000
9.002141952514648,-49.25,-0.0302734375,-74.0,0.20290610194206238,50.56907653808594,1.5690783262252808,49.0,0.02769961953163147,310000
6.1477556228637695,-51.0,0.40625,-74.0,0.15466389060020447,51.94633865356445,1.196339726448059,50.75,0.020496686920523643,320000
5.356823921203613,-50.0,0.09912109375,-68.0,0.17871952056884766,51.072288513183594,1.5722874402999878,49.5,0.02359274961054325,330000
4.484849452972412,-48.0,0.33203125,-69.0,0.13677750527858734,48.95100021362305,1.4509996175765991,47.5,0.0193477775901556,340000
3.169912099838257,-47.75,1.7578125,-68.0,0.17650777101516724,48.365577697753906,1.3655763864517212,47.0,0.028326034545898438,350000
2.7590813636779785,-48.5,0.09228515625,-66.0,0.19012106955051422,52.115882873535156,3.86588454246521,48.25,0.031277675181627274,360000
4.153122901916504,-48.5,0.0625,-66.5,0.16545288264751434,51.3875732421875,3.3875746726989746,48.0,0.021830419078469276,370000
3.7042598724365234,-48.25,0.515625,-66.0,0.17120042443275452,48.87676239013672,1.3767613172531128,47.5,0.023346900939941406,380000
3.9524006843566895,-47.5,-0.00897216796875,-74.0,0.16465790569782257,50.35730743408203,3.1073060035705566,47.25,0.026411617174744606,390000
5.2017717361450195,-48.25,0.74609375,-65.0,0.1801246702671051,49.66830062866211,1.918300747871399,47.75,0.03581191971898079,400000
4.829082489013672,-46.5,0.85546875,-64.0,0.1622304618358612,47.80047607421875,1.550477385520935,46.25,0.030928684398531914,410000
7.026453018188477,-46.75,0.1396484375,-75.5,0.2132752537727356,47.55419158935547,1.3041921854019165,46.25,0.03599483147263527,420000
4.297438621520996,-46.0,0.46484375,-66.0,0.20964312553405762,47.06731414794922,1.567314863204956,45.5,0.03095364011824131,430000
4.407993316650391,-48.0,-0.035888671875,-74.0,0.1715865284204483,49.96128463745117,2.461284875869751,47.5,0.02707464061677456,440000
6.218747615814209,-47.5,2.265625,-72.0,0.17606276273727417,48.461978912353516,1.4619776010513306,47.0,0.02063341997563839,450000
6.487615585327148,-46.5,0.423828125,-73.5,0.17420397698879242,47.19480514526367,1.4448068141937256,45.75,0.022632930427789688,460000
4.045654296875,-46.25,0.96484375,-65.0,0.162490576505661,46.98155975341797,1.2315616607666016,45.75,0.02799553982913494,470000
2.6793041229248047,-48.0,0.361328125,-74.0,0.17732363939285278,48.58331298828125,1.0833125114440918,47.5,0.024355707690119743,480000
4.287283897399902,-48.5,-0.04541015625,-71.5,0.1727108210325241,50.024436950683594,2.024437665939331,48.0,0.021677425131201744,490000
5.8283257484436035,-46.0,0.65625,-73.5,0.16805624961853027,47.32320785522461,1.323209524154663,46.0,0.018761223182082176,500000
1.708371877670288,-46.0,-0.00396728515625,-64.5,0.16352766752243042,47.39152145385742,1.641520380973816,45.75,0.026251185685396194,510000
3.4349923133850098,-45.75,0.1845703125,-75.0,0.1706891655921936,47.48967742919922,1.9896763563156128,45.5,0.02594100497663021,520000
4.533908843994141,-46.0,0.95703125,-64.0,0.13833361864089966,46.26853561401367,1.2685351371765137,45.0,0.02941293455660343,530000
5.616342544555664,-46.5,0.396484375,-64.0,0.17847268283367157,47.59644317626953,1.5964419841766357,46.0,0.0292279664427042,540000
5.954252243041992,-47.0,0.74609375,-73.0,0.18597768247127533,49.73710632324219,2.987107753753662,46.75,0.02382228896021843,550000
3.906629800796509,-46.25,0.0517578125,-64.0,0.17723938822746277,47.99418640136719,2.494185209274292,45.5,0.02427723817527294,560000
5.228330612182617,-46.25,0.92578125,-75.0,0.15039539337158203,49.0286750793457,3.0286736488342285,46.0,0.027576139196753502,570000
3.5163142681121826,-47.0,0.06591796875,-74.0,0.16343188285827637,47.87105178833008,1.3710500001907349,46.5,0.02561742626130581,580000
3.2633495330810547,-46.5,0.047119140625,-65.0,0.16878023743629456,47.395050048828125,1.1450496912002563,46.25,0.020100552588701248,590000
5.4476776123046875,-46.0,0.11328125,-65.5,0.16388028860092163,48.55195617675781,3.5519580841064453,45.0,0.02493806928396225,600000
4.66884708404541,-46.5,0.1435546875,-75.5,0.17556637525558472,48.16070556640625,2.4107069969177246,45.75,0.029816243797540665,610000
2.9164741039276123,-46.5,0.2041015625,-67.5,0.15715931355953217,47.214298248291016,1.2142993211746216,46.0,0.024617450311779976,620000
7.470218658447266,-44.75,0.1669921875,-74.5,0.154750794172287,45.410526275634766,1.160526156425476,44.25,0.029271161183714867,630000
3.640165328979492,-45.75,0.10986328125,-64.0,0.20316606760025024,46.294639587402344,1.0446395874023438,45.25,0.027304843068122864,640000
4.157925605773926,-46.25,1.6015625,-75.5,0.18066075444221497,48.603302001953125,2.853302240371704,45.75,0.02289680950343609,650000
6.606590270996094,-45.5,0.7109375,-67.0,0.14636513590812683,45.652854919433594,1.1528539657592773,44.5,0.027428073808550835,660000
2.994493007659912,-46.0,0.042236328125,-70.5,0.18467006087303162,46.2219352722168,1.2219343185424805,45.0,0.029479598626494408,670000
2.6466612815856934,-45.5,-0.0034027099609375,-64.0,0.17782874405384064,45.984012603759766,1.2340110540390015,44.75,0.02314603514969349,680000
4.755817413330078,-45.0,0.25,-63.25,0.19517651200294495,48.51034927368164,3.7603509426116943,44.75,0.02408534660935402,690000
4.075362205505371,-46.75,0.84375,-75.0,0.15185412764549255,47.386314392089844,0.8863130211830139,46.5,0.025611335411667824,700000
2.908005952835083,-45.75,0.173828125,-74.5,0.14445966482162476,46.78225326538086,1.5322524309158325,45.25,0.032114576548337936,710000
4.295731067657471,-46.0,0.23046875,-74.5,0.1741361767053604,47.086524963378906,1.5865259170532227,45.5,0.02555704489350319,720000
