value/v_loss,value/v_mean,value/v_max,value/v_min,critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/actor_loss,actor/mse,step
0.01408962532877922,-0.10205078125,0.03125,-0.189453125,0.7585315704345703,0.0306396484375,0.142578125,-0.171875,2.05222749710083,0.5196952819824219,0
0.05112495645880699,-35.75,-2.125,-38.25,0.511138916015625,-36.5,-4.40625,-39.0,9.508769989013672,0.24437350034713745,10000
0.0921822115778923,-53.5,0.87890625,-60.75,0.8774703741073608,-54.0,-0.166015625,-61.25,53.39921569824219,0.22355413436889648,20000
0.13981041312217712,-57.75,-1.3515625,-70.5,0.9847973585128784,-58.0,0.2216796875,-71.0,80.21304321289062,0.20888158679008484,30000
0.12340784072875977,-60.5,-3.703125,-76.5,0.8938369154930115,-61.0,-4.0625,-77.0,39.34429931640625,0.20949801802635193,40000
0.12153328955173492,-58.75,0.244140625,-80.5,1.4344608783721924,-59.25,0.380859375,-81.0,72.79310607910156,0.20876528322696686,50000
0.126322939991951,-59.25,-4.8125,-82.5,1.1156190633773804,-60.0,-7.03125,-83.0,50.503936767578125,0.18349571526050568,60000
0.14976881444454193,-62.0,-0.054443359375,-84.0,1.314540982246399,-62.0,-0.014892578125,-84.0,96.29126739501953,0.17847436666488647,70000
0.1307024508714676,-62.0,0.66796875,-84.5,1.4094390869140625,-62.5,-0.11669921875,-84.5,38.3382568359375,0.2116258293390274,80000
0.10969477146863937,-62.25,-0.55859375,-85.0,1.0160378217697144,-62.5,-0.7890625,-85.0,58.492313385009766,0.17525199055671692,90000
0.1666553020477295,-61.0,-0.06298828125,-85.0,1.8408063650131226,-61.5,0.1640625,-85.5,52.58774948120117,0.18519321084022522,100000
0.14200715720653534,-62.25,0.10693359375,-85.5,0.7393589019775391,-62.75,-0.734375,-86.0,86.92597198486328,0.17877286672592163,110000
0.17308807373046875,-61.75,-0.5703125,-86.0,1.0336400270462036,-61.75,-1.8203125,-86.0,76.5965576171875,0.16134768724441528,120000
0.3400760889053345,-63.25,-7.78125,-86.5,2.168177366256714,-63.5,-9.125,-86.5,93.0339584350586,0.17135055363178253,130000
0.15029564499855042,-62.5,-0.77734375,-87.0,1.0366108417510986,-63.25,-1.2109375,-87.5,26.144062042236328,0.1757362186908722,140000
0.13218627870082855,-61.5,-0.76953125,-87.5,1.2476985454559326,-62.0,-0.86328125,-87.5,57.154510498046875,0.16911455988883972,150000
0.09337873756885529,-61.25,0.7421875,-88.0,0.959010124206543,-61.75,-0.27734375,-88.0,61.377342224121094,0.1643219143152237,160000
0.15283316373825073,-62.25,0.1396484375,-88.5,2.8350913524627686,-62.5,0.494140625,-88.5,48.92666244506836,0.17563053965568542,170000
0.11933475732803345,-61.75,0.57421875,-89.0,0.5282812118530273,-62.25,-0.12109375,-89.0,52.35906982421875,0.15801197290420532,180000
0.1539154052734375,-62.5,-10.375,-89.5,1.3143303394317627,-63.0,-10.6875,-89.5,45.791114807128906,0.1756984144449234,190000
0.2750611901283264,-60.75,-0.1611328125,-90.0,1.0163918733596802,-61.0,0.2001953125,-90.0,97.76760864257812,0.1523618996143341,200000
0.17184218764305115,-63.5,-1.6328125,-90.5,0.9295340776443481,-63.75,-1.703125,-90.5,60.34828567504883,0.1764214187860489,210000
0.10159912705421448,-64.5,-11.5625,-91.0,0.9924124479293823,-65.0,-12.1875,-91.0,37.340694427490234,0.1678004413843155,220000
0.1656719446182251,-62.75,0.69140625,-91.0,0.9584895968437195,-63.0,0.314453125,-91.5,89.67951202392578,0.1646580547094345,230000
0.14116859436035156,-63.5,-3.9375,-92.0,0.8264778852462769,-63.75,-1.8515625,-92.0,62.92849349975586,0.1684020459651947,240000
0.19710171222686768,-63.25,0.26953125,-92.0,1.1827518939971924,-64.0,0.10595703125,-92.5,47.974769592285156,0.15864302217960358,250000
0.2146943062543869,-63.0,0.369140625,-92.5,1.0216556787490845,-63.25,0.12451171875,-92.5,67.634521484375,0.1488795280456543,260000
0.26609721779823303,-62.5,1.109375,-92.5,0.9969539642333984,-63.0,-1.3828125,-92.5,56.352073669433594,0.13753536343574524,270000
0.1891409456729889,-64.0,0.875,-93.0,1.015763521194458,-64.5,0.322265625,-93.0,73.8489990234375,0.14934298396110535,280000
0.17280620336532593,-65.5,0.0673828125,-93.5,0.8550412654876709,-66.0,0.279296875,-93.5,48.71907424926758,0.16256371140480042,290000
0.13705596327781677,-63.25,-11.5,-93.5,0.9047114849090576,-63.5,-10.6875,-93.5,56.45587158203125,0.15554657578468323,300000
0.12666688859462738,-63.5,-0.83203125,-93.5,0.7084127068519592,-64.0,-0.7421875,-93.5,58.92521667480469,0.16627347469329834,310000
0.4282315969467163,-65.0,-0.2177734375,-94.0,1.2594887018203735,-65.5,-0.1298828125,-94.0,57.38263702392578,0.16955143213272095,320000
0.1250489503145218,-64.5,1.1875,-94.0,0.7373825311660767,-64.5,0.94921875,-94.0,115.172607421875,0.15503177046775818,330000
0.1868697702884674,-64.0,0.47265625,-94.5,1.3945084810256958,-64.0,0.1494140625,-94.5,113.43138122558594,0.1534775197505951,340000
0.12164497375488281,-64.5,-0.56640625,-94.5,0.9133545756340027,-65.0,-1.2890625,-94.5,41.046627044677734,0.1442459374666214,350000
0.10854682326316833,-64.5,0.58203125,-95.0,0.9803398847579956,-65.0,-0.004302978515625,-95.0,78.2790756225586,0.14186787605285645,360000
0.12313996255397797,-67.5,-1.8515625,-95.0,0.8182680606842041,-68.0,-2.015625,-95.0,67.10836791992188,0.15299800038337708,370000
0.1577426940202713,-65.0,2.921875,-94.0,0.8028424978256226,-65.5,0.228515625,-94.0,95.9577407836914,0.16318649053573608,380000
0.32113832235336304,-64.5,0.04638671875,-95.0,0.8384185433387756,-65.0,0.59765625,-95.5,59.28588104248047,0.14747998118400574,390000
0.2463424652814865,-65.0,-7.15625,-95.0,0.9195547699928284,-65.0,-2.703125,-95.0,90.57257080078125,0.14605075120925903,400000
0.12690851092338562,-65.5,0.1591796875,-95.5,0.829971969127655,-66.0,-0.328125,-95.5,43.21215057373047,0.16019324958324432,410000
0.10263900458812714,-65.5,-2.71875,-95.5,0.6449259519577026,-66.0,-3.375,-95.5,54.11714553833008,0.16004779934883118,420000
0.1633082628250122,-65.0,0.275390625,-95.5,0.8494462370872498,-65.5,0.515625,-96.0,98.42996978759766,0.1497642695903778,430000
0.136424258351326,-66.0,-3.53125,-95.5,0.7508293390274048,-66.5,-3.671875,-95.5,46.17638397216797,0.15406933426856995,440000
0.1818108856678009,-67.0,0.19140625,-96.0,0.8052082657814026,-67.0,0.005401611328125,-95.5,61.44672775268555,0.15004411339759827,450000
0.17850837111473083,-65.0,-2.3125,-95.5,0.9321514368057251,-66.0,-2.640625,-96.0,50.1466064453125,0.15568096935749054,460000
0.11939986050128937,-65.5,1.8671875,-96.0,0.8115383386611938,-65.5,1.0703125,-95.5,88.922119140625,0.14715060591697693,470000
0.1595139503479004,-67.0,0.45703125,-96.0,0.7257775068283081,-67.0,0.208984375,-96.0,76.97068786621094,0.15763886272907257,480000
0.22409820556640625,-67.0,-7.4375,-95.5,1.7178503274917603,-67.5,-7.59375,-95.5,77.23932647705078,0.15246734023094177,490000
0.18951110541820526,-63.5,0.6640625,-94.0,1.830904483795166,-64.0,0.12890625,-94.0,48.030921936035156,0.1318122148513794,500000
0.1242738738656044,-67.0,0.3671875,-95.5,0.6586610078811646,-67.5,0.396484375,-95.5,70.71879577636719,0.15656109154224396,510000
0.13066312670707703,-66.0,0.173828125,-95.5,1.3139023780822754,-66.5,-0.0634765625,-96.0,61.86041259765625,0.1491016149520874,520000
0.18054430186748505,-67.0,0.609375,-95.5,0.8285032510757446,-67.0,0.255859375,-95.5,128.72836303710938,0.1481478214263916,530000
0.11349744349718094,-65.0,0.357421875,-95.5,0.6671827435493469,-65.0,1.203125,-96.0,62.154319763183594,0.14379602670669556,540000
