Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,879,12.0,12,,,,,,,,
,,,,,887,8.0,8,,,,,,,,
,,,,,894,7.0,7,,,,,,,,
,,,,,910,16.0,16,,,,,,,,
,,,,,913,3.0,3,,,,,,,,
,,,,,916,3.0,3,,,,,,,,
,,,,,923,7.0,7,,,,,,,,
,,,,,929,6.0,6,,,,,,,,
,,,,,932,3.0,3,,,,,,,,
,,,,,937,5.0,5,,,,,,,,
,,,,,945,8.0,8,,,,,,,,
,,,,,949,4.0,4,,,,,,,,
,,,,,961,12.0,12,,,,,,,,
,,,,,970,9.0,9,,,,,,,,
,,,,,984,14.0,14,,,,,,,,
,,,,,989,5.0,5,,,,,,,,
,,,,,993,4.0,4,,,,,,,,
,,,,,998,5.0,5,,,,,,,,
,,,,,1003,5.0,5,,,,,,,,
,,,,,1022,19.0,19,,,,,,,,
,,,,,1025,3.0,3,,,,,,,,
,,,,,1037,12.0,12,,,,,,,,
,,,,,1043,6.0,6,,,,,,,,
,,,,,1048,5.0,5,,,,,,,,
,,,,,1052,4.0,4,,,,,,,,
,,,,,1057,5.0,5,,,,,,,,
,,,,,1063,6.0,6,,,,,,,,
,,,,,1067,4.0,4,,,,,,,,
,,,,,1071,4.0,4,,,,,,,,
,,,,,1076,5.0,5,,,,,,,,
,,,,,1081,5.0,5,,,,,,,,
,,,,,1087,6.0,6,,,,,,,,
,,,,,1090,3.0,3,,,,,,,,
,,,,,1106,16.0,16,,,,,,,,
,,,,,1112,6.0,6,,,,,,,,
,,,,,1121,9.0,9,,,,,,,,
,,,,,1130,9.0,9,,,,,,,,
,,,,,1134,4.0,4,,,,,,,,
,,,,,1141,7.0,7,,,,,,,,
,,,,,1149,8.0,8,,,,,,,,
,,,,,1155,6.0,6,,,,,,,,
,,,,,1158,3.0,3,,,,,,,,
,,,,,1162,4.0,4,,,,,,,,
,,,,,1178,16.0,16,,,,,,,,
,,,,,1183,5.0,5,,,,,,,,
,,,,,1187,4.0,4,,,,,,,,
,,,,,1199,12.0,12,,,,,,,,
,,,,,1202,3.0,3,,,,,,,,
,,,,,1207,5.0,5,,,,,,,,
,,,,,1211,4.0,4,,,,,,,,
,,,,,1216,5.0,5,,,,,,,,
,,,,,1223,7.0,7,,,,,,,,
,,,,,1226,3.0,3,,,,,,,,
,,,,,1230,4.0,4,,,,,,,,
,,,,,1242,12.0,12,,,,,,,,
,,,,,1247,5.0,5,,,,,,,,
,,,,,1251,4.0,4,,,,,,,,
,,,,,1256,5.0,5,,,,,,,,
,,,,,1266,10.0,10,,,,,,,,
,,,,,1269,3.0,3,,,,,,,,
,,,,,1275,6.0,6,,,,,,,,
,,,,,1279,4.0,4,,,,,,,,
,,,,,1284,5.0,5,,,,,,,,
,,,,,1304,20.0,20,,,,,,,,
,,,,,1316,12.0,12,,,,,,,,
,,,,,1319,3.0,3,,,,,,,,
,,,,,1322,3.0,3,,,,,,,,
,,,,,1328,6.0,6,,,,,,,,
,,,,,1337,9.0,9,,,,,,,,
,,,,,1346,9.0,9,,,,,,,,
,,,,,1356,10.0,10,,,,,,,,
,,,,,1360,4.0,4,,,,,,,,
,,,,,1365,5.0,5,,,,,,,,
,,,,,1372,7.0,7,,,,,,,,
,,,,,1376,4.0,4,,,,,,,,
,,,,,1382,6.0,6,,,,,,,,
,,,,,1394,12.0,12,,,,,,,,
,,,,,1398,4.0,4,,,,,,,,
,,,,,1401,3.0,3,,,,,,,,
,,,,,1405,4.0,4,,,,,,,,
,,,,,1410,5.0,5,,,,,,,,
,,,,,1419,9.0,9,,,,,,,,
,,,,,1429,10.0,10,,,,,,,,
,,,,,1438,9.0,9,,,,,,,,
,,,,,1441,3.0,3,,,,,,,,
,,,,,1458,17.0,17,,,,,,,,
,,,,,1463,5.0,5,,,,,,,,
,,,,,1469,6.0,6,,,,,,,,
,,,,,1474,5.0,5,,,,,,,,
,,,,,1479,5.0,5,,,,,,,,
,,,,,1492,13.0,13,,,,,,,,
,,,,,1497,5.0,5,,,,,,,,
,,,,,1500,3.0,3,,,,,,,,
,,,,,1505,5.0,5,,,,,,,,
,,,,,1518,13.0,13,,,,,,,,
,,,,,1523,5.0,5,,,,,,,,
,,,,,1526,3.0,3,,,,,,,,
,,,,,1530,4.0,4,,,,,,,,
,,,,,1534,4.0,4,,,,,,,,
,,,,,1540,6.0,6,,,,,,,,
,,,,,1543,3.0,3,,,,,,,,
,,,,,1548,5.0,5,,,,,,,,
,,,,,1554,6.0,6,,,,,,,,
,,,,,1580,26.0,26,,,,,,,,
,,,,,1588,8.0,8,,,,,,,,
,,,,,1602,14.0,14,,,,,,,,
,,,,,1605,3.0,3,,,,,,,,
,,,,,1612,7.0,7,,,,,,,,
,,,,,1615,3.0,3,,,,,,,,
,,,,,1623,8.0,8,,,,,,,,
,,,,,1645,22.0,22,,,,,,,,
,,,,,1656,11.0,11,,,,,,,,
,,,,,1676,20.0,20,,,,,,,,
,,,,,1683,7.0,7,,,,,,,,
,,,,,1688,5.0,5,,,,,,,,
,,,,,1693,5.0,5,,,,,,,,
,,,,,1703,10.0,10,,,,,,,,
,,,,,1710,7.0,7,,,,,,,,
,,,,,1716,6.0,6,,,,,,,,
,,,,,1720,4.0,4,,,,,,,,
,,,,,1724,4.0,4,,,,,,,,
,,,,,1730,6.0,6,,,,,,,,
,,,,,1736,6.0,6,,,,,,,,
,,,,,1753,17.0,17,,,,,,,,
,,,,,1758,5.0,5,,,,,,,,
,,,,,1772,14.0,14,,,,,,,,
,,,,,1781,9.0,9,,,,,,,,
,,,,,1784,3.0,3,,,,,,,,
,,,,,1787,3.0,3,,,,,,,,
,,,,,1796,9.0,9,,,,,,,,
,,,,,1802,6.0,6,,,,,,,,
,,,,,1810,8.0,8,,,,,,,,
,,,,,1814,4.0,4,,,,,,,,
,,,,,1817,3.0,3,,,,,,,,
,,,,,1828,11.0,11,,,,,,,,
,,,,,1835,7.0,7,,,,,,,,
,,,,,1842,7.0,7,,,,,,,,
,,,,,1856,14.0,14,,,,,,,,
,,,,,1860,4.0,4,,,,,,,,
,,,,,1865,5.0,5,,,,,,,,
,,,,,1892,27.0,27,,,,,,,,
,,,,,1898,6.0,6,,,,,,,,
