Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
,,,,,19000,,,-44.960304260253906,3.1528658866882324,0.6922019124031067,43.773536682128906,43.849143981933594,0.20471303164958954,-14.629520416259766,0.0003,0.0003,0.2046927809715271
,,,,,19999,-221.0121,1000,,,,,,,,,,
-143.74428,39.26497,-91.06042,-216.74689,1000.0,20000,,,-46.73230743408203,3.065363883972168,0.6626520752906799,45.643226623535156,45.685752868652344,0.18541963398456573,-15.304893493652344,0.0003,0.0003,0.18540124595165253
,,,,,20999,-146.39958,1000,,,,,,,,,,
,,,,,21000,,,-48.10111618041992,2.972903251647949,0.6877168416976929,47.2140998840332,47.10618591308594,0.16791756451129913,-16.03158950805664,0.0003,0.0003,0.16790099442005157
,,,,,21999,-147.45003,1000,,,,,,,,,,
,,,,,22000,,,-47.93308639526367,2.98614764213562,0.5237071514129639,47.1252326965332,47.124481201171875,0.15209239721298218,-17.025177001953125,0.0003,0.0003,0.15207728743553162
,,,,,22999,208.62108,1000,,,,,,,,,,
,,,,,23000,,,-48.849273681640625,2.7095208168029785,0.4273664355278015,47.982688903808594,48.020565032958984,0.1378728151321411,-17.34397315979004,0.0003,0.0003,0.13785932958126068
,,,,,23999,182.53235,1000,,,,,,,,,,
,,,,,24000,,,-48.775115966796875,2.548835039138794,0.5197302103042603,47.926780700683594,47.97875213623047,0.1250441074371338,-17.729900360107422,0.0003,0.0003,0.12503188848495483
,,,,,24999,245.93571,1000,,,,,,,,,,
447.0083,259.95316,884.3375,188.09242,1000.0,25000,,,-50.212032318115234,2.3208184242248535,0.39494436979293823,49.482078552246094,49.43726348876953,0.11347464472055435,-17.80337142944336,0.0003,0.0003,0.11346358060836792
,,,,,25999,228.51303,1000,,,,,,,,,,
,,,,,26000,,,-51.297279357910156,1.7345914840698242,0.5071629881858826,50.47107696533203,50.45667266845703,0.10305151343345642,-17.461917877197266,0.0003,0.0003,0.10304161161184311
,,,,,26999,504.6469,1000,,,,,,,,,,
,,,,,27000,,,-51.07256317138672,1.2759321928024292,0.5055292844772339,50.38188552856445,50.386741638183594,0.09367544203996658,-18.101051330566406,0.0003,0.0003,0.09366650879383087
,,,,,27999,661.2974,1000,,,,,,,,,,
,,,,,28000,,,-50.83168029785156,0.8205626010894775,0.5233868956565857,49.99744415283203,50.11758804321289,0.08530694246292114,-16.934043884277344,0.0003,0.0003,0.08529902994632721
,,,,,28999,531.59204,1000,,,,,,,,,,
,,,,,29000,,,-52.862796783447266,0.14955110847949982,0.4948103427886963,52.027103424072266,52.19394302368164,0.0777837336063385,-15.648908615112305,0.0003,0.0003,0.07777658849954605
,,,,,29999,724.1828,1000,,,,,,,,,,
637.516,73.415085,777.30615,517.29285,1000.0,30000,,,-54.72828674316406,-0.36350756883621216,0.4903700649738312,53.82389831542969,53.71605682373047,0.07098497450351715,-14.622002601623535,0.0003,0.0003,0.07097847759723663
,,,,,30999,394.44568,1000,,,,,,,,,,
,,,,,31000,,,-55.84980392456055,-0.6686345338821411,0.550689160823822,55.127891540527344,55.07931900024414,0.06478448957204819,-14.601269721984863,0.0003,0.0003,0.06477849185466766
,,,,,31999,556.70557,1000,,,,,,,,,,
,,,,,32000,,,-58.135047912597656,-0.9175955057144165,0.5115809440612793,57.2498664855957,57.2470703125,0.05906553193926811,-14.099136352539062,0.0003,0.0003,0.05906006693840027
,,,,,32999,844.5954,1000,,,,,,,,,,
,,,,,33000,,,-58.642303466796875,-1.389481782913208,0.47054344415664673,57.848716735839844,57.89282989501953,0.05378719046711922,-14.008124351501465,0.0003,0.0003,0.053782202303409576
,,,,,33999,1175.4,1000,,,,,,,,,,
,,,,,34000,,,-60.94125747680664,-1.3769241571426392,0.4873930811882019,59.9809455871582,59.968196868896484,0.048946231603622437,-14.279545783996582,0.0003,0.0003,0.048941612243652344
,,,,,34999,1309.0713,1000,,,,,,,,,,
1253.807,205.02354,1513.1256,874.6788,1000.0,35000,,,-63.396728515625,-1.9324761629104614,0.45658671855926514,62.52442169189453,62.33267593383789,0.04463282972574234,-12.419635772705078,0.0003,0.0003,0.04462873190641403
,,,,,35999,785.75977,1000,,,,,,,,,,
,,,,,36000,,,-64.16934204101562,-2.543653964996338,0.5791394114494324,63.206398010253906,63.30506896972656,0.0407581590116024,-10.487707138061523,0.0003,0.0003,0.040754593908786774
,,,,,36999,1482.81,1000,,,,,,,,,,
,,,,,37000,,,-68.64794158935547,-2.274820566177368,0.5270016193389893,67.70718383789062,67.64910125732422,0.03727761656045914,-12.331937789916992,0.0003,0.0003,0.03727417066693306
,,,,,37999,1585.038,1000,,,,,,,,,,
,,,,,38000,,,-70.32255554199219,-3.1916308403015137,0.4454464912414551,69.48011779785156,69.56683349609375,0.03413425758481026,-10.22757339477539,0.0003,0.0003,0.034131407737731934
,,,,,38999,1524.1897,1000,,,,,,,,,,
,,,,,39000,,,-72.78619384765625,-3.338853359222412,0.5156229734420776,71.94438171386719,71.90328216552734,0.0312885120511055,-9.044506072998047,0.0003,0.0003,0.03128579631447792
,,,,,39999,1460.6398,1000,,,,,,,,,,
1592.0813,34.53625,1654.5658,1515.9218,1000.0,40000,,,-75.14774322509766,-3.598116636276245,0.43304234743118286,74.22821044921875,74.25007629394531,0.02876247651875019,-9.69096565246582,0.0003,0.0003,0.028759952634572983
,,,,,40999,1548.9202,1000,,,,,,,,,,
,,,,,41000,,,-77.27278137207031,-4.221193313598633,0.53266441822052,76.35006713867188,76.5235366821289,0.02647935040295124,-6.344439506530762,0.0003,0.0003,0.026477305218577385
,,,,,41999,1681.0833,1000,,,,,,,,,,
,,,,,42000,,,-79.42640686035156,-4.654799461364746,0.5578413009643555,78.45928955078125,78.52842712402344,0.02449066750705242,-5.434578895568848,0.0003,0.0003,0.024488992989063263
,,,,,42999,1736.6246,1000,,,,,,,,,,
