step,v_loss,q_loss,policy_loss
97,1.4937302239559358e-06,2.965601561299991e-05,2.0771071910858154
98,1.4494082734017866e-06,3.68047330994159e-05,2.0771865844726562
99,2.015647623920813e-06,3.4288037568330765e-05,2.077890157699585
100,2.5342449134768685e-06,3.944428317481652e-05,2.0760750770568848
101,1.9749368220800534e-06,2.870664138754364e-05,2.0777673721313477
102,1.5388823157991283e-06,2.9772338166367263e-05,2.07818865776062
103,1.949943225554307e-06,4.0693652408663183e-05,2.0782036781311035
104,2.0269326341804117e-06,3.1182364182313904e-05,2.0779895782470703
105,1.4235708931664703e-06,2.7439884433988482e-05,2.0775818824768066
106,1.3753317489317851e-06,2.9686347261304036e-05,2.0784687995910645
107,1.2505358881753637e-06,2.632287396409083e-05,2.0780141353607178
108,1.3466235486703226e-06,5.113716179039329e-05,2.077707290649414
109,1.3426958958007162e-06,2.3021664674161002e-05,2.0774755477905273
110,1.396997618030582e-06,2.2847460058983415e-05,2.0770092010498047
111,2.613530341477599e-06,3.609629857237451e-05,2.0765483379364014
112,1.8516640238885884e-06,2.6610872737364843e-05,2.077223777770996
113,8.756443321544793e-07,2.4513621610822156e-05,2.0770552158355713
114,1.2562695701490156e-06,2.1455110982060432e-05,2.0773262977600098
115,1.645388692850247e-06,4.025234011351131e-05,2.078494071960449
116,1.7847887647803873e-06,2.6574676667223684e-05,2.076878547668457
117,1.9192993931937963e-06,3.090946120209992e-05,2.0784788131713867
118,2.239105015178211e-06,2.433531335555017e-05,2.078561305999756
119,1.4199958968674764e-06,2.747546022874303e-05,2.077155113220215
120,1.5090687384144985e-06,2.7943196982960217e-05,2.077509880065918
121,1.1971769708907232e-06,3.243215542170219e-05,2.0779640674591064
122,1.6523711110494332e-06,3.919813025277108e-05,2.0770552158355713
123,1.1887348136951914e-06,3.276288043707609e-05,2.077524185180664
124,1.9649883142847102e-06,3.766367444768548e-05,2.076221227645874
125,1.690944486654189e-06,3.671237936941907e-05,2.0773651599884033
126,2.069233005386195e-06,3.2388517865911126e-05,2.0765528678894043
127,8.857783200255653e-07,2.3114824216463603e-05,2.0770559310913086
128,8.149900736498239e-07,1.8551156244939193e-05,2.0782222747802734
129,1.498209712735843e-06,2.3470231099054217e-05,2.0767273902893066
130,1.737955699354643e-06,3.151709461235441e-05,2.077855110168457
131,1.348331238659739e-06,3.76461903215386e-05,2.0771920680999756
132,1.0909752745646983e-06,2.870565549528692e-05,2.0778021812438965
133,2.1824648683832493e-06,3.063976691919379e-05,2.0771260261535645
134,1.222055630023533e-06,2.3604654415976256e-05,2.078080177307129
135,1.525062771179364e-06,3.463054963503964e-05,2.077354907989502
136,1.14018860131182e-06,3.092818224104121e-05,2.07769775390625
137,8.009727707758429e-07,3.1563260563416407e-05,2.077784538269043
138,8.540759495190287e-07,3.4218275686725974e-05,2.0761942863464355
139,1.2214514981678803e-06,2.9612616344820708e-05,2.0777759552001953
140,1.3769949873676524e-06,3.329375249450095e-05,2.0764224529266357
141,1.1277379599050619e-06,2.7791949833044782e-05,2.07572865486145
142,1.6408694136771373e-06,2.558591222623363e-05,2.076662063598633
143,2.171975665987702e-06,3.349243343109265e-05,2.0755975246429443
144,2.133829639205942e-06,4.4964999688090757e-05,2.076904535293579
145,7.619122470714501e-07,2.6069428713526577e-05,2.0771164894104004
146,1.2919781511300243e-06,2.1907077098148875e-05,2.078611135482788
147,1.5454950244020438e-06,2.2336058464134112e-05,2.0782222747802734
148,1.4713415339429048e-06,3.1380743166664615e-05,2.0776891708374023
149,1.6427165974164382e-06,2.8789039788534865e-05,2.0774765014648438
150,8.042073886826984e-07,2.0253854017937556e-05,2.0772757530212402
151,7.855909416321083e-07,2.367007800785359e-05,2.0784878730773926
152,3.221279939680244e-06,2.9269089282024652e-05,2.076943874359131
153,1.1806840802819352e-06,2.928861795226112e-05,2.0777440071105957
154,7.7711018775517e-07,2.5786221158341505e-05,2.077944755554199
155,1.7630287629799568e-06,3.747867594938725e-05,2.076233148574829
156,1.2519130905275233e-06,3.402502989047207e-05,2.07731556892395
157,1.1364447800588096e-06,2.9460497898980975e-05,2.077483654022217
158,1.223583808496187e-06,2.9882867238484323e-05,2.076056957244873
159,1.0992762327077799e-06,2.4127344659063965e-05,2.0761404037475586
160,1.8758811393126962e-06,2.3344320652540773e-05,2.0755562782287598
161,1.1472322967165383e-06,4.233068830217235e-05,2.0773069858551025
162,1.8751341031020274e-06,3.644050593720749e-05,2.0767712593078613
163,9.919948524839128e-07,2.4827284505590796e-05,2.078585624694824
164,1.8705973161559086e-06,2.3796834284439683e-05,2.077785015106201
165,1.6698332956366357e-06,2.2628581064054742e-05,2.0772247314453125
166,1.699185645520629e-06,2.2336276742862538e-05,2.0776455402374268
167,1.5180482932919404e-06,2.7451336791273206e-05,2.0770766735076904
168,1.5488076314795762e-06,3.147509414702654e-05,2.077005624771118
169,7.074659151840024e-07,2.439815398247447e-05,2.0775632858276367
170,1.9790106762229698e-06,3.0216195227694698e-05,2.0744845867156982
171,1.7956278952624416e-06,2.3098655219655484e-05,2.0753579139709473
172,1.2855124396082829e-06,2.918085374403745e-05,2.0772786140441895
173,2.307046997884754e-06,3.8155121728777885e-05,2.076169967651367
174,1.2914010767417494e-06,2.6372585125500336e-05,2.076200008392334
175,1.292592514801072e-06,2.5283425202360377e-05,2.07645845413208
176,1.964700459211599e-06,2.9176921088946983e-05,2.075320243835449
177,1.3375539538174053e-06,2.1407311578514054e-05,2.078045606613159
178,9.560211537973373e-07,2.696872797969263e-05,2.0772924423217773
179,3.0954970497987233e-06,2.411245077382773e-05,2.075620174407959
180,9.328647934125911e-07,3.344238575664349e-05,2.0761895179748535
181,3.048829057661351e-06,2.3624605091754347e-05,2.0782885551452637
182,1.6379897260776488e-06,2.670917092473246e-05,2.0778422355651855
183,1.437378841728787e-06,2.44376697082771e-05,2.075692653656006
184,1.9304663965158397e-06,2.209136619057972e-05,2.077775478363037
185,8.893547374100308e-07,3.148527321172878e-05,2.075748920440674
186,2.1826972442795523e-06,2.98234517686069e-05,2.076819896697998
187,2.397415755694965e-06,2.748821316345129e-05,2.0761446952819824
188,1.3355161172512453e-06,2.386120831943117e-05,2.0754828453063965
189,5.619888725050259e-06,2.6661880838219076e-05,2.0779237747192383
190,1.9763097043323796e-06,2.3011700250208378e-05,2.0743165016174316
191,9.601033070794074e-07,2.531515565351583e-05,2.078139305114746
192,9.595368055670406e-07,2.2307291146717034e-05,2.0765039920806885
193,2.214215783169493e-06,2.289517578901723e-05,2.075713634490967
194,2.3564944058307447e-06,2.1941166778560728e-05,2.074242115020752
195,2.74094736596453e-06,2.276810846524313e-05,2.075446128845215
196,9.270819418816245e-07,3.0838738894090056e-05,2.0759692192077637
197,1.5423282775373082e-06,2.1200557966949418e-05,2.0772881507873535
198,9.528990858598263e-07,2.400264384050388e-05,2.077025890350342
199,1.6394378690165468e-06,2.0917272195219994e-05,2.076756238937378
200,1.2466718999348814e-06,2.1743588149547577e-05,2.0771636962890625
201,1.1684146556945052e-06,2.324517845408991e-05,2.0768163204193115
202,2.5569088393240236e-06,2.129900167346932e-05,2.078230142593384
203,1.65930759976618e-06,2.1206782548688352e-05,2.0767040252685547
204,2.9808709314238513e-06,2.511992715881206e-05,2.077134609222412
205,1.054293761626468e-06,2.118980592058506e-05,2.0769290924072266
206,1.405398506904021e-06,2.1143321646377444e-05,2.0757999420166016
207,2.805469193845056e-06,1.978025829885155e-05,2.0743980407714844
208,2.202536961704027e-06,2.3074113414622843e-05,2.076413631439209
209,3.2629063753120136e-06,2.2882917619426735e-05,2.0756258964538574
210,1.6643994058540557e-06,4.011100099887699e-05,2.076201915740967
211,1.5380380773422075e-06,1.6965166651061736e-05,2.0761985778808594
212,1.7200566162500763e-06,2.0833491362282075e-05,2.075835943222046
213,1.4763123772354447e-06,2.0374412997625768e-05,2.075594186782837
214,1.992242914639064e-06,2.0828767446801066e-05,2.077338218688965
215,2.6784737201523967e-06,2.793755629681982e-05,2.0743017196655273
216,1.9605449779191986e-06,2.533588485675864e-05,2.0750985145568848
217,1.3158002047930495e-06,2.56716684816638e-05,2.076176166534424
218,1.2239363513799617e-06,1.9602264728746377e-05,2.076143264770508
219,2.082050514218281e-06,2.2940726921660826e-05,2.077659845352173
220,9.976731689675944e-07,1.9662464183056727e-05,2.0771918296813965
221,2.528579216232174e-06,2.3973469069460407e-05,2.077144145965576
222,1.6022453337427578e-06,2.5483261197223328e-05,2.0756826400756836
223,2.7278854304313427e-06,2.2111389625933953e-05,2.0759291648864746
224,1.8977719946633442e-06,1.8110158634954132e-05,2.075925588607788
225,1.4444925682255416e-06,2.4729959477554075e-05,2.076951503753662
226,1.3856591749572544e-06,2.5088600523304194e-05,2.075899600982666
227,1.496837967351894e-06,1.8577771697891876e-05,2.0770440101623535
228,1.6737625401219702e-06,2.5995614123530686e-05,2.0764389038085938
229,2.0957425022061216e-06,2.0487965230131522e-05,2.0754361152648926
230,1.9700655684573576e-06,2.920922270277515e-05,2.075611114501953
231,2.620912255224539e-06,2.860244785551913e-05,2.0771427154541016
232,1.3172335684430436e-06,1.9716608221642673e-05,2.076420783996582
233,2.571334334788844e-06,2.5608947908040136e-05,2.0765459537506104
234,1.1972740594501374e-06,2.3589242118760012e-05,2.074003219604492
235,1.7549932636029553e-06,2.4404724172200076e-05,2.075437068939209
236,8.911725899451994e-07,2.1789997845189646e-05,2.0751585960388184
237,3.3792457543313503e-06,2.429533014947083e-05,2.074101448059082
238,1.9011613403563388e-06,3.101649053860456e-05,2.073763370513916
239,1.8493747120373882e-06,2.4760651285760105e-05,2.075482130050659
240,3.18651268571557e-06,2.321643114555627e-05,2.072904109954834
241,4.259704383002827e-06,2.580531690909993e-05,2.075416326522827
242,2.960017809527926e-06,2.723472789512016e-05,2.0752246379852295
243,1.5700429685239214e-06,2.1090316295158118e-05,2.0748424530029297
244,1.6107377405205625e-06,2.090050656988751e-05,2.0761497020721436
245,2.0703942027466837e-06,2.426291030133143e-05,2.0771219730377197
246,3.3681401419016765e-06,2.656405558809638e-05,2.0760040283203125
247,5.087137651571538e-06,2.256446714454796e-05,2.077413558959961
248,2.822283022396732e-06,2.2352920495904982e-05,2.0767910480499268
249,2.512122364350944e-06,1.6811340174172074e-05,2.0754804611206055
250,3.007231725860038e-06,2.050830880762078e-05,2.0727579593658447
251,2.0154820958850905e-06,2.117217445629649e-05,2.0740675926208496
252,2.452666421959293e-06,2.126365143340081e-05,2.0759694576263428
253,3.887292677973164e-06,1.9724046069313772e-05,2.0736687183380127
254,3.6262135836295784e-06,2.469249739078805e-05,2.0750234127044678
255,3.964868483308237e-06,2.12349696084857e-05,2.0744359493255615
256,3.954859948862577e-06,2.7226718884776346e-05,2.0744855403900146
257,2.751349256868707e-06,2.233627310488373e-05,2.0747780799865723
258,2.633091753523331e-06,2.1698891941923648e-05,2.074289321899414
259,1.9332287592987996e-06,1.674113082117401e-05,2.076216220855713
260,2.673586095625069e-06,1.9447883460088633e-05,2.0763628482818604
261,2.4886667233658955e-06,1.468217760702828e-05,2.0740740299224854
262,3.295147052995162e-06,1.7730384570313618e-05,2.073884963989258
263,3.0607609460275853e-06,2.4317978386534378e-05,2.0738272666931152
264,1.7458262391301105e-06,2.2889864339958876e-05,2.071835994720459
265,3.178925453539705e-06,1.63020049512852e-05,2.0764198303222656
266,1.4440673794524628e-06,2.310519812454004e-05,2.072805404663086
267,2.739582214417169e-06,2.0809358829865232e-05,2.073377847671509
268,1.2822474673157558e-06,1.9847910152748227e-05,2.0742549896240234
269,2.4193766421376495e-06,1.3731862964050379e-05,2.074038028717041
270,1.8989687760040397e-06,1.748266731738113e-05,2.0743165016174316
271,1.536880972707877e-06,2.5952867872547358e-05,2.0756120681762695
272,1.480428750255669e-06,1.9933953808504157e-05,2.075073719024658
273,3.169363935739966e-06,2.8556518373079598e-05,2.0729293823242188
274,1.683424557086255e-06,1.735021942295134e-05,2.0738577842712402
275,2.2527626697410597e-06,2.0021872842335142e-05,2.073007345199585
276,1.768730498952209e-06,1.6947589756455272e-05,2.0738790035247803
277,2.3773868633725215e-06,2.623830732773058e-05,2.0744731426239014
278,2.4483313154632924e-06,1.978403452085331e-05,2.0746235847473145
279,1.5582857031404274e-06,2.154744288418442e-05,2.0739169120788574
280,2.1395278508862248e-06,1.6581288946326822e-05,2.0736894607543945
281,2.5527797333779745e-06,1.5774650819366798e-05,2.0761499404907227
282,1.7760550008460996e-06,2.1667865439667366e-05,2.0770998001098633
283,3.231988785046269e-06,2.145821781596169e-05,2.075562000274658
284,2.336218130949419e-06,1.8501952581573278e-05,2.0751705169677734
285,2.4919777388277e-06,1.586889266036451e-05,2.0745673179626465
286,2.0801685423066374e-06,3.0824467103229836e-05,2.07183837890625
287,2.2276926756603643e-06,1.6719608538551256e-05,2.0734050273895264
288,3.445607944740914e-06,1.7138714611064643e-05,2.070617914199829
289,2.264954673592001e-06,1.908100239234045e-05,2.0714664459228516
290,2.7208507162868045e-06,2.0874063920928165e-05,2.0711669921875
291,3.7221370803308673e-06,1.5655870811315253e-05,2.071120262145996
292,2.653153160281363e-06,1.8844202713808045e-05,2.0744786262512207
293,2.3016791601548903e-06,2.174386099795811e-05,2.0742969512939453
294,2.155706624762388e-06,1.5014961718406994e-05,2.0716476440429688
295,2.105676230712561e-06,2.28408352995757e-05,2.0745463371276855
296,3.615063633333193e-06,2.035829129454214e-05,2.0735788345336914
297,2.3967677407199517e-06,1.6305368262692355e-05,2.0720458030700684
298,2.787409357551951e-06,1.6159146980498917e-05,2.0734095573425293
299,1.975808118004352e-06,1.9413779227761552e-05,2.074950695037842
300,2.119714736181777e-06,1.80120587174315e-05,2.073904275894165
301,2.1377368284447584e-06,1.4533589819620829e-05,2.0738449096679688
302,2.796410853989073e-06,2.219505768152885e-05,2.072333812713623
303,2.4216162728407653e-06,2.2602867829846218e-05,2.072266101837158
304,1.9161429918312933e-06,1.7439630028093234e-05,2.072707176208496
305,1.2915334082208574e-06,2.0532108464976773e-05,2.07511830329895
306,1.4689092040498508e-06,1.796306241885759e-05,2.072220802307129
307,1.7694810594548471e-06,1.9729244741029106e-05,2.076733112335205
308,2.95884001388913e-06,1.663034527155105e-05,2.073765516281128
309,3.0526643968187273e-06,2.069028778350912e-05,2.073756694793701
310,3.0847161269775825e-06,2.1129199012648314e-05,2.0714974403381348
311,1.829378788897884e-06,1.6515190509380773e-05,2.07235050201416
312,2.723650368352537e-06,2.527694232412614e-05,2.0737740993499756
313,2.5897652449202724e-06,2.22545386350248e-05,2.072859287261963
314,2.570475999164046e-06,1.3520815627998672e-05,2.071032762527466
315,3.032089352927869e-06,2.1166064470889978e-05,2.071354866027832
316,2.900607341871364e-06,2.3532356863142923e-05,2.0699925422668457
317,2.0667853277700488e-06,1.4936232219042722e-05,2.0721633434295654
318,1.7642219063418452e-06,1.9935076124966145e-05,2.075375556945801
319,1.3318174296728102e-06,2.155345464416314e-05,2.0725979804992676
320,2.9567872843472287e-06,1.7414893591194414e-05,2.0733416080474854
321,1.4232613239073544e-06,1.6869005776243284e-05,2.073594808578491
322,3.290435188318952e-06,2.05677242774982e-05,2.0689492225646973
323,3.4844103993236786e-06,1.6915128071559593e-05,2.0694751739501953
324,2.2521235223393887e-06,1.7663165635894984e-05,2.071565866470337
325,2.345617758692242e-06,2.1375859432737343e-05,2.0722169876098633
326,4.462083779799286e-06,1.4194003597367555e-05,2.070343017578125
327,2.914606284321053e-06,1.5123767298064195e-05,2.069324493408203
328,2.2521917344420217e-06,1.669731136644259e-05,2.070171594619751
329,3.48171283803822e-06,2.1094259864185005e-05,2.0739641189575195
330,3.01226782539743e-06,1.81574396265205e-05,2.072721004486084
331,3.43235024047317e-06,1.997871368075721e-05,2.07197904586792
332,2.51203823609103e-06,1.6428097296738997e-05,2.0703787803649902
333,2.0913112166454084e-06,1.680055538599845e-05,2.0731146335601807
334,1.3008876749154297e-06,1.4744058717042208e-05,2.073042392730713
335,1.758428311404714e-06,1.555386552354321e-05,2.071202278137207
336,3.7124216305528535e-06,1.7059459423762746e-05,2.067002773284912
337,3.6219307730789296e-06,1.3657563613378443e-05,2.0697569847106934
338,3.18717684422154e-06,2.027045593422372e-05,2.0736279487609863
339,2.51715027843602e-06,1.4958359315642156e-05,2.069626808166504
340,1.8185261296821409e-06,1.6143323591677472e-05,2.071087598800659
341,2.510312697268091e-06,1.8799280951498076e-05,2.072552442550659
342,2.9218176678114105e-06,1.3466276868712157e-05,2.0736262798309326
343,3.578555606509326e-06,1.6233036149060354e-05,2.073113441467285
344,2.196889454353368e-06,1.636805791349616e-05,2.0736773014068604
345,3.7478780541277956e-06,1.762999818311073e-05,2.0721747875213623
346,2.5293536509707337e-06,1.3394984307524282e-05,2.07108736038208
347,2.998440777446376e-06,1.7225327610503882e-05,2.069957733154297
348,3.177166036039125e-06,1.8464588720235042e-05,2.068833589553833
349,2.325444256712217e-06,1.3187012882553972e-05,2.0699706077575684
