Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-687.9042,176.20244,-399.93256,-1019.0595,87.2,0,,,,,,,,
,,,,,85,-328.227,86,,,,,,
,,,,,172,-177.94708,87,,,,,,
,,,,,243,-80.4209,71,,,,,,
,,,,,326,-177.93782,83,,,,,,
,,,,,418,-114.82371,92,,,,,,
,,,,,528,-200.37619,110,,,,,,
,,,,,623,-115.96992,95,,,,,,
,,,,,705,-74.225975,82,,,,,,
,,,,,769,-126.79999,64,,,,,,
,,,,,857,-276.1761,88,,,,,,
,,,,,961,-111.777,104,,,,,,
,,,,,1038,-117.97649,77,,,,,,
,,,,,1141,-145.10155,103,,,,,,
,,,,,1211,-95.71734,70,,,,,,
,,,,,1316,-92.0642,105,,,,,,
,,,,,1449,-196.34357,133,,,,,,
,,,,,1531,-107.77123,82,,,,,,
,,,,,1627,-104.05244,96,,,,,,
,,,,,1707,-124.90906,80,,,,,,
,,,,,1794,-91.12703,87,,,,,,
,,,,,1882,-197.95204,88,,,,,,
,,,,,1958,-257.7616,76,,,,,,
,,,,,2029,-240.82494,71,,,,,,
,,,,,2096,-130.40352,67,,,,,,
,,,,,2204,-169.05219,108,,,,,,
,,,,,2269,-69.5713,65,,,,,,
,,,,,2355,-190.34314,86,,,,,,
,,,,,2448,-298.4215,93,,,,,,
,,,,,2554,-127.327705,106,,,,,,
,,,,,2629,-216.15451,75,,,,,,
,,,,,2699,-128.31853,70,,,,,,
,,,,,2790,-374.80685,91,,,,,,
,,,,,2849,-99.78514,59,,,,,,
,,,,,2963,-93.43843,114,,,,,,
,,,,,3034,-147.70113,71,,,,,,
,,,,,3122,-115.40807,88,,,,,,
,,,,,3179,-107.197784,57,,,,,,
,,,,,3294,-114.89483,115,,,,,,
,,,,,3380,-100.20135,86,,,,,,
,,,,,3459,-76.17633,79,,,,,,
,,,,,3572,-269.0404,113,,,,,,
,,,,,3713,-81.13428,141,,,,,,
,,,,,3838,-79.40766,125,,,,,,
,,,,,3933,-217.29234,95,,,,,,
,,,,,4002,-103.20904,69,,,,,,
,,,,,4093,-176.12872,91,,,,,,
,,,,,4181,-148.23843,88,,,,,,
,,,,,4260,-81.68175,79,,,,,,
,,,,,4330,-86.6383,70,,,,,,
,,,,,4428,-398.35852,98,,,,,,
,,,,,4506,-376.12262,78,,,,,,
,,,,,4582,-194.5986,76,,,,,,
,,,,,4690,-117.28475,108,,,,,,
,,,,,4766,-107.067085,76,,,,,,
,,,,,5766,60.96218,1000,,,,,,
,,,,,5852,-118.27619,86,,,,,,
,,,,,5945,-105.97131,93,,,,,,
,,,,,6046,-315.10468,101,,,,,,
,,,,,6152,-168.00766,106,,,,,,
,,,,,6272,-149.87772,120,,,,,,
,,,,,6391,-168.01404,119,,,,,,
,,,,,6475,-75.66148,84,,,,,,
,,,,,6544,-81.323875,69,,,,,,
,,,,,6609,-105.18552,65,,,,,,
,,,,,6672,-90.663506,63,,,,,,
,,,,,6754,-268.15387,82,,,,,,
,,,,,6851,-166.34038,97,,,,,,
,,,,,6924,-93.19071,73,,,,,,
,,,,,6994,18.308853,70,,,,,,
,,,,,7092,-349.43338,98,,,,,,
,,,,,7163,-202.19916,71,,,,,,
,,,,,7259,-248.08237,96,,,,,,
,,,,,7326,-47.599888,67,,,,,,
,,,,,7441,-73.65617,115,,,,,,
,,,,,7565,-81.3636,124,,,,,,
,,,,,7685,-118.93116,120,,,,,,
,,,,,7760,-150.6056,75,,,,,,
,,,,,7876,-101.10122,116,,,,,,
,,,,,7938,-89.51035,62,,,,,,
,,,,,8011,-118.20099,73,,,,,,
,,,,,8121,-98.043144,110,,,,,,
,,,,,8217,-213.42334,96,,,,,,
,,,,,8293,-288.9917,76,,,,,,
,,,,,8418,-204.26125,125,,,,,,
,,,,,8506,-97.074715,88,,,,,,
,,,,,8614,-468.7779,108,,,,,,
,,,,,8724,-345.04163,110,,,,,,
,,,,,8865,-123.65687,141,,,,,,
,,,,,8960,-36.851257,95,,,,,,
,,,,,9052,-102.992355,92,,,,,,
,,,,,9173,-396.52563,121,,,,,,
,,,,,9275,-369.84567,102,,,,,,
,,,,,9344,-132.1392,69,,,,,,
,,,,,9456,-152.2473,112,,,,,,
,,,,,9562,-116.87976,106,,,,,,
,,,,,9722,-287.48685,160,,,,,,
,,,,,9783,-30.473152,61,,,,,,
,,,,,9908,-109.13287,125,,,,,,
-956.8708,444.77762,-565.5426,-2001.7461,110.6,10000,,,,,,,,
,,,,,10010,-209.81445,102,,,,,,
,,,,,10099,-145.03842,89,,,,,,
,,,,,10181,-157.539,82,,,,,,
,,,,,10252,-141.07915,71,,,,,,
,,,,,10352,-80.6096,100,,,,,,
,,,,,10458,-426.5833,106,,,,,,
,,,,,10552,-90.27157,94,,,,,,
,,,,,10657,-362.25647,105,,,,,,
,,,,,10719,-57.95492,62,,,,,,
,,,,,10840,-389.00653,121,,,,,,
,,,,,10955,-80.56218,115,,,,,,
,,,,,11046,-113.03006,91,,,,,,
,,,,,11144,-277.13684,98,,,,,,
,,,,,11226,-125.09459,82,,,,,,
,,,,,11343,-36.27084,117,,,,,,
,,,,,11414,-94.982544,71,,,,,,
,,,,,11492,-88.38212,78,,,,,,
,,,,,11604,-285.91095,112,,,,,,
,,,,,11697,36.14775,93,,,,,,
,,,,,11824,-306.40134,127,,,,,,
,,,,,11903,-69.239655,79,,,,,,
,,,,,12008,-207.31226,105,,,,,,
,,,,,12085,-155.46088,77,,,,,,
,,,,,12159,-202.18062,74,,,,,,
,,,,,12231,-87.48707,72,,,,,,
,,,,,12313,-156.14285,82,,,,,,
,,,,,12396,-138.52863,83,,,,,,
,,,,,12464,-96.73776,68,,,,,,
,,,,,12543,-147.61324,79,,,,,,
,,,,,12641,-37.40339,98,,,,,,
,,,,,12716,-74.6021,75,,,,,,
,,,,,12858,-5.057495,142,,,,,,
,,,,,12961,-251.83603,103,,,,,,
,,,,,13097,-111.10149,136,,,,,,
,,,,,13175,-344.52045,78,,,,,,
,,,,,13302,-77.871124,127,,,,,,
,,,,,13399,-120.89273,97,,,,,,
,,,,,13499,-135.51073,100,,,,,,
,,,,,13621,-269.20627,122,,,,,,
,,,,,13732,-142.8092,111,,,,,,
,,,,,13820,-85.81607,88,,,,,,
,,,,,13936,-85.91821,116,,,,,,
,,,,,14010,-230.0982,74,,,,,,
,,,,,14098,-87.003944,88,,,,,,
,,,,,14198,-114.152885,100,,,,,,
,,,,,14277,-444.32703,79,,,,,,
,,,,,14375,-64.21388,98,,,,,,
,,,,,14477,-493.45325,102,,,,,,
,,,,,14580,-351.0219,103,,,,,,
,,,,,14704,-106.4346,124,,,,,,
,,,,,14780,-94.592026,76,,,,,,
,,,,,14865,-98.10711,85,,,,,,
,,,,,14939,-371.18198,74,,,,,,
,,,,,15074,-0.13269043,135,,,,,,
,,,,,15147,-71.26541,73,,,,,,
,,,,,15217,-83.74254,70,,,,,,
,,,,,15323,-324.97842,106,,,,,,
,,,,,15469,-126.173416,146,,,,,,
,,,,,15558,-253.38214,89,,,,,,
,,,,,15661,-102.19847,103,,,,,,
,,,,,15824,-385.45312,163,,,,,,
,,,,,15907,-228.63075,83,,,,,,
,,,,,15994,-301.2724,87,,,,,,
,,,,,16142,-363.00693,148,,,,,,
,,,,,16250,-524.80707,108,,,,,,
,,,,,16312,-69.08046,62,,,,,,
,,,,,16418,-137.4912,106,,,,,,
,,,,,16557,-248.66649,139,,,,,,
,,,,,16641,-113.7467,84,,,,,,
,,,,,16784,-357.79004,143,,,,,,
,,,,,16881,-160.57138,97,,,,,,
,,,,,16986,-84.71521,105,,,,,,
