Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,2771,9.400027,21,,,,,,,,
,,,,,2782,8.703242,11,,,,,,,,
,,,,,2817,20.44251,35,,,,,,,,
,,,,,2831,13.207466,14,,,,,,,,
,,,,,2845,11.911944,14,,,,,,,,
,,,,,2869,14.414103,24,,,,,,,,
,,,,,2905,36.344696,36,,,,,,,,
,,,,,2923,14.456409,18,,,,,,,,
,,,,,2948,29.222794,25,,,,,,,,
,,,,,2964,11.263109,16,,,,,,,,
,,,,,2992,29.613163,28,,,,,,,,
,,,,,3004,11.410096,12,,,,,,,,
,,,,,3024,11.554625,20,,,,,,,,
,,,,,3044,12.425585,20,,,,,,,,
,,,,,3061,6.6435766,17,,,,,,,,
,,,,,3071,8.486832,10,,,,,,,,
,,,,,3103,24.016712,32,,,,,,,,
,,,,,3137,22.910849,34,,,,,,,,
,,,,,3163,21.630407,26,,,,,,,,
,,,,,3180,13.373508,17,,,,,,,,
,,,,,3205,16.749872,25,,,,,,,,
,,,,,3218,12.536175,13,,,,,,,,
,,,,,3243,26.249945,25,,,,,,,,
,,,,,3264,13.403755,21,,,,,,,,
,,,,,3287,13.961104,23,,,,,,,,
,,,,,3312,15.65436,25,,,,,,,,
,,,,,3330,13.07665,18,,,,,,,,
,,,,,3366,20.61148,36,,,,,,,,
,,,,,3387,15.444768,21,,,,,,,,
,,,,,3406,11.8709,19,,,,,,,,
,,,,,3426,12.551443,20,,,,,,,,
,,,,,3457,29.208912,31,,,,,,,,
,,,,,3492,46.150864,35,,,,,,,,
,,,,,3522,21.92638,30,,,,,,,,
,,,,,3533,9.578266,11,,,,,,,,
,,,,,3547,10.882375,14,,,,,,,,
,,,,,3583,37.13527,36,,,,,,,,
,,,,,3599,11.284782,16,,,,,,,,
,,,,,3618,14.488865,19,,,,,,,,
,,,,,3635,14.287457,17,,,,,,,,
,,,,,3663,17.115881,28,,,,,,,,
,,,,,3678,8.779001,15,,,,,,,,
,,,,,3692,9.730029,14,,,,,,,,
,,,,,3707,12.684124,15,,,,,,,,
,,,,,3734,17.676006,27,,,,,,,,
,,,,,3776,16.791521,42,,,,,,,,
,,,,,3790,13.172199,14,,,,,,,,
,,,,,3807,16.495949,17,,,,,,,,
,,,,,3819,8.891426,12,,,,,,,,
,,,,,3843,21.47123,24,,,,,,,,
,,,,,3879,40.87295,36,,,,,,,,
,,,,,3889,7.575135,10,,,,,,,,
,,,,,3902,9.416267,13,,,,,,,,
,,,,,3935,16.706297,33,,,,,,,,
,,,,,3953,13.9815,18,,,,,,,,
,,,,,4004,34.465008,51,,,,,,,,
,,,,,4019,13.528969,15,,,,,,,,
,,,,,4043,21.606878,24,,,,,,,,
,,,,,4052,6.55783,9,,,,,,,,
,,,,,4186,153.98495,134,,,,,,,,
,,,,,4220,9.768084,34,,,,,,,,
,,,,,4236,12.301485,16,,,,,,,,
,,,,,4289,90.22431,53,,,,,,,,
,,,,,4303,12.740205,14,,,,,,,,
,,,,,4316,10.334653,13,,,,,,,,
,,,,,4329,11.418206,13,,,,,,,,
,,,,,4344,11.437716,15,,,,,,,,
,,,,,4389,25.202284,45,,,,,,,,
,,,,,4399,7.924498,10,,,,,,,,
,,,,,4417,19.408298,18,,,,,,,,
,,,,,4437,14.534041,20,,,,,,,,
,,,,,4485,38.592873,48,,,,,,,,
,,,,,4523,39.96386,38,,,,,,,,
,,,,,4533,5.933069,10,,,,,,,,
,,,,,4559,21.934341,26,,,,,,,,
,,,,,4600,27.534077,41,,,,,,,,
,,,,,4619,18.915152,19,,,,,,,,
,,,,,4640,16.629105,21,,,,,,,,
,,,,,4652,6.036705,12,,,,,,,,
,,,,,4667,10.944995,15,,,,,,,,
,,,,,4680,12.124176,13,,,,,,,,
,,,,,4704,20.218737,24,,,,,,,,
,,,,,4727,13.738328,23,,,,,,,,
,,,,,4748,7.350713,21,,,,,,,,
,,,,,4765,16.814947,17,,,,,,,,
,,,,,4784,13.909319,19,,,,,,,,
,,,,,4797,9.9749775,13,,,,,,,,
,,,,,4811,10.474093,14,,,,,,,,
,,,,,4836,20.002747,25,,,,,,,,
,,,,,4850,9.050493,14,,,,,,,,
,,,,,4865,12.738394,15,,,,,,,,
,,,,,4885,18.131989,20,,,,,,,,
,,,,,4913,19.10412,28,,,,,,,,
,,,,,4928,14.157889,15,,,,,,,,
,,,,,4946,14.399288,18,,,,,,,,
,,,,,4966,16.333225,20,,,,,,,,
,,,,,4983,13.446567,17,,,,,,,,
,,,,,4994,6.4722085,11,,,,,,,,
