critic/q_loss,critic/q_mean,critic/q_max,critic/q_min,actor/total_loss,actor/q_loss,actor/bc_loss,actor/entropy_loss,actor/mse,beta/beta_loss,beta/beta,step
1.0019712448120117,-0.06884765625,0.1328125,-0.203125,-2.419663906097412,0.33203125,2.3818728923797607,-5.133688926696777,0.7939576506614685,9.319339752197266,0.9997000694274902,0
0.7555363178253174,-39.5,-4.75,-40.5,40.30921936035156,39.5,0.9877278804779053,-0.13016977906227112,0.32924261689186096,0.5353992581367493,0.10620631277561188,10000
0.6226675510406494,-59.0,-0.263671875,-63.75,59.596466064453125,58.75,0.7075434923171997,0.09983234107494354,0.2358478307723999,-0.000986937782727182,0.026396650820970535,20000
0.7448075413703918,-58.75,0.322265625,-73.5,59.17301940917969,58.25,0.7266826629638672,0.1397031843662262,0.24222755432128906,0.003754500299692154,0.03175801411271095,30000
0.7967166900634766,-60.25,-1.90625,-80.5,60.931217193603516,60.0,0.686748743057251,0.12895917892456055,0.2289162576198578,-0.004168835934251547,0.03267689421772957,40000
0.921230673789978,-58.5,-0.515625,-86.0,58.73553466796875,58.0,0.7183102369308472,0.13269075751304626,0.23943674564361572,0.011199074797332287,0.03380921110510826,50000
0.7012343406677246,-60.5,-8.1875,-89.5,60.83957290649414,60.0,0.6257009506225586,0.1279347687959671,0.20856699347496033,0.010049235075712204,0.03320477902889252,60000
0.734299898147583,-63.25,0.64453125,-91.0,63.646358489990234,63.0,0.6383666396141052,0.12421879172325134,0.2127888798713684,0.011153928935527802,0.032428715378046036,70000
0.5423913598060608,-62.5,0.23828125,-92.5,63.26370620727539,62.5,0.6841698884963989,0.1309479922056198,0.2280566394329071,0.010881343856453896,0.03277179226279259,80000
0.7229342460632324,-63.75,-3.9375,-94.0,64.28890991210938,63.5,0.5437026023864746,0.1346099078655243,0.1812341958284378,-0.012072393670678139,0.032307833433151245,90000
0.6753121614456177,-63.0,-0.2080078125,-94.0,63.32719039916992,62.75,0.5717323422431946,0.12520679831504822,0.1905774474143982,0.003156030550599098,0.03214796632528305,100000
0.7981573343276978,-66.0,-0.83984375,-96.5,66.41841125488281,65.5,0.6127322316169739,0.1269357055425644,0.20424407720565796,0.0009039563010446727,0.03220874443650246,110000
0.5590035915374756,-65.5,-9.5,-94.0,66.07402801513672,65.5,0.6062490940093994,0.12476248294115067,0.202083021402359,0.0006988731329329312,0.031742025166749954,120000
0.5844211578369141,-68.0,-13.9375,-98.0,68.36448669433594,67.5,0.5640887022018433,0.12388934940099716,0.18802955746650696,0.0058655873872339725,0.03175223618745804,130000
0.8752038478851318,-68.0,0.75,-94.0,68.35314178466797,67.5,0.562368631362915,0.12095768004655838,0.18745622038841248,0.009728722274303436,0.031869202852249146,140000
0.6220512390136719,-66.5,-4.5625,-96.5,66.67789459228516,66.0,0.5684874057769775,0.13827282190322876,0.18949580192565918,-0.001738047692924738,0.03189435973763466,150000
0.9611304998397827,-67.0,0.00390625,-94.5,67.46894073486328,66.5,0.5866461992263794,0.14063961803913116,0.19554874300956726,-0.004192010965198278,0.032963067293167114,160000
1.4971562623977661,-67.0,1.3359375,-99.0,67.50392150878906,67.0,0.5833662748336792,0.13676932454109192,0.19445541501045227,-0.008068864233791828,0.03184825927019119,170000
0.47872379422187805,-66.0,-0.1865234375,-95.5,66.413330078125,65.5,0.5374176502227783,0.13504110276699066,0.17913922667503357,0.003122426802292466,0.03267615661025047,180000
0.9312326312065125,-67.0,-12.4375,-99.5,67.1480484008789,66.5,0.5816009044647217,0.1276020109653473,0.19386696815490723,0.0075476327911019325,0.032426781952381134,190000
0.6546778678894043,-65.0,-0.1318359375,-96.5,65.25237274169922,64.5,0.5473702549934387,0.13070695102214813,0.18245674669742584,-0.0023670303635299206,0.03202974423766136,200000
0.5465428829193115,-68.0,-2.234375,-98.0,68.22460174560547,67.5,0.5841944217681885,0.12771150469779968,0.1947314739227295,-0.00532422075048089,0.032247934490442276,210000
0.659648597240448,-68.5,-12.875,-96.0,69.04290771484375,68.5,0.5292825698852539,0.12703189253807068,0.17642751336097717,0.012084064073860645,0.032376985996961594,220000
0.5480973124504089,-67.0,1.3203125,-96.5,67.54953002929688,67.0,0.5734120607376099,0.11720278859138489,0.19113734364509583,0.0031005842611193657,0.03230903670191765,230000
0.813534140586853,-67.0,0.1015625,-99.0,67.10902404785156,66.5,0.541898250579834,0.13421496748924255,0.18063274025917053,0.003155069425702095,0.03212728723883629,240000
0.4901376962661743,-67.0,0.244140625,-98.0,67.38336944580078,66.5,0.5428234934806824,0.1289532631635666,0.1809411644935608,0.0118672214448452,0.03208693489432335,250000
0.7479327321052551,-66.0,0.474609375,-97.5,66.3297119140625,65.5,0.5792554020881653,0.12469271570444107,0.19308513402938843,-0.01007174327969551,0.03203943744301796,260000
0.5729435682296753,-65.0,0.62109375,-97.5,65.49372100830078,65.0,0.5097272396087646,0.13141727447509766,0.16990907490253448,-0.008101904764771461,0.03257742524147034,270000
0.5917971730232239,-67.0,0.43359375,-97.0,67.44763946533203,67.0,0.554176926612854,0.11977969855070114,0.18472564220428467,0.0027092930395156145,0.03230946511030197,280000
0.8816617727279663,-68.5,-0.001953125,-96.5,69.11168670654297,68.5,0.5602059960365295,0.12672460079193115,0.1867353320121765,0.004973891656845808,0.031998760998249054,290000
0.9106142520904541,-66.5,-4.09375,-95.5,67.13472747802734,66.5,0.5415409803390503,0.136492058634758,0.1805136650800705,-0.0026370983105152845,0.03193816542625427,300000
0.5138449668884277,-67.5,0.224609375,-98.0,68.08306121826172,67.5,0.5443277955055237,0.12282557040452957,0.18144260346889496,-0.000613750540651381,0.031783491373062134,310000
0.6004495024681091,-68.5,-0.041015625,-97.5,68.8628921508789,68.0,0.5716224312782288,0.1291094720363617,0.19054080545902252,-0.011736009269952774,0.0320507250726223,320000
0.6930016279220581,-67.5,0.578125,-97.0,67.99930572509766,67.5,0.523798406124115,0.12083687633275986,0.17459946870803833,0.013525431044399738,0.032326310873031616,330000
0.8235546946525574,-68.5,0.451171875,-103.0,68.79917907714844,68.0,0.535423994064331,0.12634508311748505,0.17847466468811035,0.000779993599280715,0.03166860342025757,340000
0.4784991443157196,-68.5,-0.1708984375,-99.5,68.56336212158203,68.0,0.49883902072906494,0.1297093629837036,0.16627967357635498,-0.0018194775329902768,0.032111480832099915,350000
0.5223675966262817,-66.5,0.125,-101.0,67.0031967163086,66.5,0.5200859308242798,0.12854300439357758,0.17336198687553406,0.0009713563486002386,0.0322209857404232,360000
0.4243551194667816,-71.5,-1.359375,-103.0,71.8891372680664,71.5,0.47509562969207764,0.12576910853385925,0.15836520493030548,0.002933393931016326,0.03204851597547531,370000
0.7129477262496948,-69.5,-9.375,-94.5,69.72573852539062,69.0,0.562033474445343,0.1232961118221283,0.187344491481781,-0.0008695070282556117,0.031580109149217606,380000
0.8145368099212646,-68.0,0.111328125,-98.0,68.30976104736328,67.5,0.4747113883495331,0.1333644539117813,0.15823712944984436,-0.000835882150568068,0.031614769250154495,390000
0.6297938823699951,-69.0,-3.9375,-100.0,69.47250366210938,69.0,0.5234801769256592,0.1341734081506729,0.17449340224266052,-0.003793928073719144,0.03171319514513016,400000
0.4149417281150818,-68.5,0.7265625,-97.5,69.05422973632812,68.5,0.5171446800231934,0.12558718025684357,0.17238156497478485,0.0007545396219938993,0.03188713639974594,410000
0.5727834701538086,-69.0,-16.125,-100.5,69.53927612304688,69.0,0.55262291431427,0.13118839263916016,0.18420764803886414,-0.005094696767628193,0.031831294298172,420000
0.6061004996299744,-68.0,0.3515625,-100.0,68.30571746826172,67.5,0.5034114718437195,0.1279897838830948,0.1678038239479065,0.006079594139009714,0.03173012286424637,430000
0.4991581439971924,-70.0,0.375,-99.0,70.37162780761719,70.0,0.48508724570274353,0.12638144195079803,0.16169574856758118,5.641272582579404e-05,0.03167698532342911,440000
0.41940024495124817,-70.0,0.1953125,-101.5,70.5182876586914,70.0,0.5162238478660583,0.12459395080804825,0.17207461595535278,0.0005523610743694007,0.03166202828288078,450000
0.5130265951156616,-68.5,-10.0,-100.0,68.96261596679688,68.5,0.5548975467681885,0.12658573687076569,0.1849658489227295,0.003730498719960451,0.031588729470968246,460000
0.5602483749389648,-69.0,0.279296875,-98.5,69.4533462524414,69.0,0.5236749649047852,0.12012491375207901,0.17455831170082092,0.0027665668167173862,0.03168366104364395,470000
0.49976176023483276,-71.0,-0.0703125,-101.0,71.5724105834961,71.0,0.5096133947372437,0.13069146871566772,0.16987113654613495,0.0015434365486726165,0.031624265015125275,480000
0.5605988502502441,-70.0,-12.75,-104.0,70.57520294189453,70.0,0.5322703123092651,0.12484157830476761,0.17742343246936798,-0.002236704807728529,0.03164561092853546,490000
0.594740629196167,-67.0,0.431640625,-104.5,67.38568115234375,67.0,0.4598866403102875,0.13098189234733582,0.15329554677009583,-0.008400416001677513,0.0313890241086483,500000
0.6109683513641357,-71.5,0.1484375,-98.5,71.92630004882812,71.5,0.524620532989502,0.12734492123126984,0.1748735010623932,-0.004800993483513594,0.031581129878759384,510000
0.5347273349761963,-70.5,0.220703125,-104.5,70.67007446289062,70.0,0.5019775629043579,0.12019210308790207,0.16732585430145264,0.010978221893310547,0.03172392025589943,520000
0.5843919515609741,-71.5,-0.03125,-100.5,72.11488342285156,71.5,0.45824092626571655,0.12947337329387665,0.15274697542190552,-0.0017458053771406412,0.031481824815273285,530000
0.611346960067749,-69.0,-0.029296875,-100.5,69.29904174804688,68.5,0.4781726002693176,0.120340995490551,0.1593908667564392,-0.000436209054896608,0.031275149434804916,540000
0.5644898414611816,-72.0,0.02734375,-99.5,72.3290023803711,71.5,0.5034891366958618,0.12281397730112076,0.1678297221660614,0.00034778573899529874,0.031781986355781555,550000
0.4504767954349518,-70.5,1.125,-98.5,71.0163345336914,70.5,0.5137373208999634,0.12621769309043884,0.1712457835674286,0.002424517646431923,0.03124932199716568,560000
0.5026441216468811,-71.0,0.5234375,-98.0,71.55107879638672,71.0,0.48223745822906494,0.13329574465751648,0.16074581444263458,-0.0040854536928236485,0.031563058495521545,570000
0.8316214680671692,-69.5,-0.083984375,-101.0,69.9828872680664,69.5,0.49568358063697815,0.1208353266119957,0.16522786021232605,0.0015055814292281866,0.031499601900577545,580000
0.457917720079422,-71.0,-0.45703125,-101.0,71.32034301757812,70.5,0.46543800830841064,0.12901374697685242,0.15514600276947021,-0.0066245365887880325,0.031113656237721443,590000
3.8874404430389404,-69.0,0.13671875,-99.0,69.05210876464844,68.5,0.5542054772377014,0.11756597459316254,0.18473516404628754,0.0056301006115973,0.03141307085752487,600000
0.5239121317863464,-70.5,-0.2333984375,-97.5,70.63429260253906,70.0,0.5438531041145325,0.13095764815807343,0.1812843680381775,-0.0034199166111648083,0.031238878145813942,610000
0.5633901357650757,-71.5,0.16796875,-99.5,71.63744354248047,71.0,0.5159782767295837,0.12230836600065231,0.17199276387691498,0.007393627427518368,0.03118940442800522,620000
0.41057825088500977,-71.0,-18.25,-102.5,71.22628784179688,70.5,0.47989270091056824,0.13262629508972168,0.15996423363685608,0.0024631191045045853,0.030770303681492805,630000
0.5106621980667114,-73.5,-8.9375,-98.0,73.64334106445312,73.0,0.5042994022369385,0.11804158240556717,0.1680998057126999,0.007231914903968573,0.031228654086589813,640000
0.4842560291290283,-72.0,0.6015625,-102.5,72.62220764160156,72.0,0.4755200743675232,0.12657974660396576,0.15850669145584106,-0.0030219191685318947,0.03112117201089859,650000
0.6332767009735107,-70.5,0.384765625,-100.5,71.09825134277344,70.5,0.531443178653717,0.12399989366531372,0.1771477311849594,-0.001347530516795814,0.03129734843969345,660000
0.6276957988739014,-70.0,0.0625,-103.0,70.51860046386719,70.0,0.5082287788391113,0.13033142685890198,0.1694096028804779,-0.011527861468493938,0.031183812767267227,670000
0.721519947052002,-72.0,-0.62890625,-105.0,72.25517272949219,71.5,0.470816969871521,0.12716923654079437,0.15693898499011993,-0.002617624355480075,0.03157346695661545,680000
0.44859907031059265,-70.5,0.38671875,-102.0,71.05545806884766,70.5,0.49177420139312744,0.11949539184570312,0.16392473876476288,0.004319873638451099,0.031043194234371185,690000
0.4811895191669464,-72.0,-12.875,-101.0,72.48684692382812,72.0,0.5421525239944458,0.124996118247509,0.18071749806404114,0.005861119832843542,0.031219370663166046,700000
0.327786922454834,-75.0,-6.0,-100.5,75.40888977050781,75.0,0.46018972992897034,0.1230752170085907,0.1533965766429901,0.0028402686584740877,0.030974160879850388,710000
1.5242986679077148,-70.0,0.30859375,-100.0,70.33357238769531,69.5,0.48408693075180054,0.12633219361305237,0.16136230528354645,0.00331832910887897,0.03135920315980911,720000
0.5559682846069336,-73.5,0.28515625,-102.0,73.77916717529297,73.0,0.5318032503128052,0.1157560870051384,0.17726776003837585,0.0065702456049621105,0.031054722145199776,730000
0.6269649267196655,-73.0,-6.09375,-103.5,73.28959655761719,72.5,0.4974694848060608,0.12831100821495056,0.16582316160202026,-0.0026755055878311396,0.03108428604900837,740000
0.5598818063735962,-70.5,-7.40625,-101.0,70.74951171875,70.0,0.4296973943710327,0.1262131631374359,0.14323246479034424,0.005648272577673197,0.03122900426387787,750000
0.3849380612373352,-71.0,0.1953125,-100.0,71.32990264892578,70.5,0.4957028925418854,0.1177208349108696,0.1652342975139618,0.006746675819158554,0.031130949035286903,760000
0.47513604164123535,-72.0,-9.9375,-104.5,72.5604476928711,72.0,0.49598318338394165,0.12098144739866257,0.16532772779464722,-0.0029409059789031744,0.03102019429206848,770000
0.8093472719192505,-70.0,-5.8125,-99.5,70.61479949951172,70.0,0.4936510920524597,0.13591518998146057,0.16455036401748657,-0.020615922287106514,0.031073883175849915,780000
0.5541517734527588,-71.0,0.2265625,-101.0,71.04347229003906,70.5,0.5064597129821777,0.1232236996293068,0.16881990432739258,0.0051569025963544846,0.030825911089777946,790000
0.4455103278160095,-72.0,-11.875,-99.0,72.5050277709961,72.0,0.5011855363845825,0.12298940122127533,0.16706183552742004,0.006564323790371418,0.03107735700905323,800000
0.47824883460998535,-71.0,-0.080078125,-100.0,71.23823547363281,70.5,0.5179151296615601,0.12340348213911057,0.17263837158679962,-0.00753542548045516,0.03105885349214077,810000
0.9121919274330139,-71.0,-0.00390625,-104.5,71.24626922607422,70.5,0.4460792541503906,0.12416932731866837,0.14869308471679688,-0.005054834298789501,0.030848782509565353,820000
0.5372363328933716,-71.0,0.470703125,-104.5,71.436279296875,71.0,0.4876747727394104,0.13625426590442657,0.16255825757980347,-0.002155547495931387,0.031181998550891876,830000
0.500076413154602,-70.5,0.115234375,-100.5,71.15331268310547,70.5,0.49989205598831177,0.12636354565620422,0.16663068532943726,0.006186403799802065,0.03091852180659771,840000
0.5664269328117371,-72.5,-19.75,-99.5,72.79469299316406,72.0,0.5040851831436157,0.11971397697925568,0.16802838444709778,0.0023108443710952997,0.030890749767422676,850000
0.7705984711647034,-71.0,0.41796875,-101.5,71.32063293457031,71.0,0.4414253532886505,0.12883388996124268,0.14714178442955017,0.0006538729649037123,0.030888216570019722,860000
0.6711717844009399,-73.0,-13.0,-100.5,73.5478744506836,73.0,0.503161609172821,0.1264996975660324,0.16772054135799408,0.000928558234591037,0.03097079135477543,870000
0.9044318199157715,-73.0,0.7734375,-102.0,73.30772399902344,72.5,0.46112096309661865,0.1301543265581131,0.15370698273181915,-0.001571502536535263,0.031104160472750664,880000
0.496222585439682,-70.5,0.953125,-99.5,70.78690338134766,70.0,0.47410789132118225,0.129078671336174,0.15803596377372742,-0.005936059635132551,0.031035061925649643,890000
0.49029162526130676,-74.0,0.7109375,-99.5,74.44952392578125,74.0,0.5052188634872437,0.12480305880308151,0.16840627789497375,-0.0015537363942712545,0.031188927590847015,900000
0.628629207611084,-72.0,0.921875,-101.5,72.39599609375,72.0,0.4992212653160095,0.1204240471124649,0.16640709340572357,-0.004272629972547293,0.030873769894242287,910000
1.0540907382965088,-69.5,0.24609375,-99.5,70.07017517089844,69.5,0.48879551887512207,0.12097930163145065,0.16293184459209442,-0.0029980659019201994,0.031072430312633514,920000
0.4543803632259369,-73.0,-26.375,-99.5,73.3416519165039,72.5,0.4854276776313782,0.1196521520614624,0.16180922091007233,-0.002230105921626091,0.030991889536380768,930000
0.5630532503128052,-73.5,-0.017578125,-101.0,73.97305297851562,73.5,0.48862168192863464,0.12021435052156448,0.16287389397621155,-0.0009830277413129807,0.03126416727900505,940000
0.7733759880065918,-73.5,0.53515625,-102.5,73.77992248535156,73.0,0.508719801902771,0.12755437195301056,0.16957327723503113,-0.0053314403630793095,0.030701201409101486,950000
0.7008819580078125,-72.5,0.294921875,-101.5,72.9518051147461,72.5,0.4675109088420868,0.11419180035591125,0.15583696961402893,-0.0036696488969027996,0.030898353084921837,960000
0.47689324617385864,-74.0,0.1015625,-102.0,74.13870239257812,73.5,0.4620712101459503,0.11317991465330124,0.15402373671531677,0.005575711373239756,0.030831806361675262,970000
0.6551665663719177,-73.0,0.3203125,-104.5,73.44331359863281,73.0,0.4815371632575989,0.13241305947303772,0.16051238775253296,-0.010613841935992241,0.030828755348920822,980000
0.7981153130531311,-71.0,1.0625,-102.0,71.59593200683594,71.0,0.4981100857257843,0.1179085224866867,0.1660366952419281,-0.004392742644995451,0.030847694724798203,990000
0.4670484662055969,-72.5,0.13671875,-99.0,72.64537048339844,72.0,0.4696428179740906,0.12714356184005737,0.15654760599136353,0.008237162604928017,0.030902991071343422,1000000
