Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,12945,-263.3037,90,,,,,,
,,,,,13061,-213.31879,116,,,,,,
,,,,,13197,-154.14706,136,,,,,,
,,,,,13327,-198.07462,130,,,,,,
,,,,,13428,-108.91613,101,,,,,,
,,,,,13519,-242.25484,91,,,,,,
,,,,,13601,-87.27614,82,,,,,,
,,,,,13718,-121.684395,117,,,,,,
,,,,,13856,-156.55374,138,,,,,,
,,,,,13968,-586.0057,112,,,,,,
,,,,,14051,-453.48212,83,,,,,,
,,,,,14213,-350.50204,162,,,,,,
,,,,,14321,-347.26093,108,,,,,,
,,,,,14407,-5.4985275,86,,,,,,
,,,,,14478,-100.05231,71,,,,,,
,,,,,14599,-12.63475,121,,,,,,
,,,,,14678,-225.27283,79,,,,,,
,,,,,14750,-84.792564,72,,,,,,
,,,,,14860,-385.15283,110,,,,,,
,,,,,14933,-119.86261,73,,,,,,
,,,,,15010,-172.16156,77,,,,,,
,,,,,15134,-378.1168,124,,,,,,
,,,,,15209,-70.54706,75,,,,,,
,,,,,15307,-81.51825,98,,,,,,
,,,,,15415,-105.0201,108,,,,,,
,,,,,15565,-143.84943,150,,,,,,
,,,,,15668,-114.994225,103,,,,,,
,,,,,15748,2.962326,80,,,,,,
,,,,,15837,-450.9214,89,,,,,,
,,,,,15940,-263.68262,103,,,,,,
,,,,,16050,-333.0739,110,,,,,,
,,,,,16119,-70.41443,69,,,,,,
,,,,,16189,-41.306347,70,,,,,,
,,,,,16254,-65.359825,65,,,,,,
,,,,,16383,-36.988785,129,,,,,,
,,,,,16457,-166.3663,74,,,,,,
,,,,,16571,-155.48221,114,,,,,,
,,,,,16637,-100.730865,66,,,,,,
,,,,,16782,-324.1645,145,,,,,,
,,,,,16877,-173.65811,95,,,,,,
,,,,,16967,-336.74185,90,,,,,,
,,,,,17083,-309.22992,116,,,,,,
,,,,,17180,-211.0531,97,,,,,,
,,,,,17264,-146.68706,84,,,,,,
,,,,,17349,-172.5897,85,,,,,,
,,,,,17427,-194.30405,78,,,,,,
,,,,,17502,-151.08575,75,,,,,,
,,,,,17569,-43.539406,67,,,,,,
,,,,,17627,-124.82576,58,,,,,,
,,,,,17725,-426.73358,98,,,,,,
,,,,,17810,-337.5458,85,,,,,,
,,,,,17880,-210.9997,70,,,,,,
,,,,,17983,-397.1484,103,,,,,,
,,,,,18083,-346.3711,100,,,,,,
,,,,,18159,-91.77141,76,,,,,,
,,,,,18245,-193.49847,86,,,,,,
,,,,,18345,-251.4987,100,,,,,,
,,,,,18481,-46.19924,136,,,,,,
,,,,,18615,-140.41565,134,,,,,,
,,,,,18712,-504.50858,97,,,,,,
,,,,,18782,-131.45949,70,,,,,,
,,,,,18886,-169.60872,104,,,,,,
,,,,,19009,-175.6726,123,,,,,,
,,,,,19128,-84.20818,119,,,,,,
,,,,,19261,-309.1745,133,,,,,,
,,,,,19384,-405.01587,123,,,,,,
,,,,,19499,-154.46693,115,,,,,,
,,,,,19616,-193.98624,117,,,,,,
,,,,,19743,-586.0929,127,,,,,,
,,,,,19821,-204.51056,78,,,,,,
,,,,,19911,-400.04715,90,,,,,,
,,,,,19990,-90.40358,79,,,,,,
-170.26543,87.94369,-88.53353,-390.5448,79.8,20000,,,9.447967529296875,-0.04846449941396713,-1.1673088073730469,5.8093180656433105,0.88,0.01
,,,,,20057,-218.87306,67,,,,,,
,,,,,20143,-115.294945,86,,,,,,
,,,,,20300,-182.69788,157,,,,,,
,,,,,20398,-299.81165,98,,,,,,
,,,,,20476,-98.23159,78,,,,,,
,,,,,20579,-127.57735,103,,,,,,
,,,,,20704,-132.53079,125,,,,,,
,,,,,20789,-345.3073,85,,,,,,
,,,,,20879,-298.75195,90,,,,,,
,,,,,20948,-101.5355,69,,,,,,
,,,,,21000,,,2.4871201515197754,-4.064484596252441,-3.8358983993530273,12.80335807800293,0.874,0.01
,,,,,21041,-261.80515,93,,,,,,
,,,,,21172,-256.44202,131,,,,,,
,,,,,21260,-149.79025,88,,,,,,
,,,,,21367,-178.04245,107,,,,,,
,,,,,21465,-84.52009,98,,,,,,
,,,,,21596,-59.371315,131,,,,,,
,,,,,21734,-223.17221,138,,,,,,
,,,,,21811,-154.96445,77,,,,,,
,,,,,21897,-77.93565,86,,,,,,
,,,,,21993,-372.5448,96,,,,,,
,,,,,22000,,,140.67144775390625,-5.5551557540893555,-5.345069885253906,51.382171630859375,0.868,0.01
,,,,,22126,-181.31946,133,,,,,,
,,,,,22246,-61.77134,120,,,,,,
,,,,,22332,-65.656654,86,,,,,,
,,,,,22413,-227.87466,81,,,,,,
,,,,,22530,-104.07051,117,,,,,,
,,,,,23000,,,9.77304458618164,-5.767757415771484,-6.215682506561279,23.235082626342773,0.862,0.01
,,,,,23530,57.33519,1000,,,,,,
,,,,,23610,-89.425385,80,,,,,,
,,,,,23710,-42.761406,100,,,,,,
,,,,,23841,-112.82126,131,,,,,,
,,,,,23957,-163.60103,116,,,,,,
,,,,,24000,,,7.121923446655273,-7.520606994628906,-5.6245574951171875,33.12809371948242,0.856,0.01
,,,,,24070,-170.06372,113,,,,,,
,,,,,24150,-93.01947,80,,,,,,
,,,,,24230,-118.3307,80,,,,,,
,,,,,24365,-137.5504,135,,,,,,
,,,,,24448,-75.21761,83,,,,,,
,,,,,24513,-72.44707,65,,,,,,
,,,,,24602,-207.8302,89,,,,,,
,,,,,24675,-181.04027,73,,,,,,
,,,,,24783,-299.74738,108,,,,,,
,,,,,24861,-82.97295,78,,,,,,
,,,,,24945,-88.66557,84,,,,,,
,,,,,25000,,,12.689119338989258,-7.5242462158203125,-8.1829252243042,27.28496742248535,0.85,0.01
,,,,,25064,-107.11725,119,,,,,,
,,,,,25180,-224.20636,116,,,,,,
,,,,,25297,-121.9442,117,,,,,,
,,,,,25426,1.5373383,129,,,,,,
,,,,,25511,-47.60884,85,,,,,,
,,,,,25659,-6.4907684,148,,,,,,
,,,,,25768,-147.68031,109,,,,,,
,,,,,25866,-275.9604,98,,,,,,
