Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,12964,-89.73548,70,,,,,,
,,,,,13045,-93.27839,81,,,,,,
,,,,,13183,-218.7617,138,,,,,,
,,,,,13308,-304.6414,125,,,,,,
,,,,,13420,-324.78015,112,,,,,,
,,,,,13543,-166.53906,123,,,,,,
,,,,,13674,-236.18112,131,,,,,,
,,,,,13778,-75.792984,104,,,,,,
,,,,,13890,-26.35691,112,,,,,,
,,,,,13975,-88.9001,85,,,,,,
,,,,,14074,-477.7522,99,,,,,,
,,,,,14224,-129.34695,150,,,,,,
,,,,,14325,-112.766266,101,,,,,,
,,,,,14389,-166.94484,64,,,,,,
,,,,,14479,-237.85811,90,,,,,,
,,,,,14576,-167.79248,97,,,,,,
,,,,,14659,-122.03349,83,,,,,,
,,,,,14750,-113.27188,91,,,,,,
,,,,,14933,-167.20865,183,,,,,,
,,,,,15008,-246.64874,75,,,,,,
,,,,,15118,-304.22336,110,,,,,,
,,,,,15200,-80.21273,82,,,,,,
,,,,,15265,-447.12915,65,,,,,,
,,,,,15334,-157.27202,69,,,,,,
,,,,,15448,-279.88336,114,,,,,,
,,,,,15545,-136.35635,97,,,,,,
,,,,,15648,-229.0193,103,,,,,,
,,,,,15741,-296.77164,93,,,,,,
,,,,,15828,-290.11304,87,,,,,,
,,,,,15889,-137.52634,61,,,,,,
,,,,,16026,-152.032,137,,,,,,
,,,,,16123,-123.231735,97,,,,,,
,,,,,16248,-567.69763,125,,,,,,
,,,,,16316,-275.33575,68,,,,,,
,,,,,16407,-126.86336,91,,,,,,
,,,,,16494,-133.37149,87,,,,,,
,,,,,16563,-89.56802,69,,,,,,
,,,,,16663,-199.28424,100,,,,,,
,,,,,16745,-418.43442,82,,,,,,
,,,,,16810,-112.855934,65,,,,,,
,,,,,16906,-39.24093,96,,,,,,
,,,,,17005,-226.067,99,,,,,,
,,,,,17105,-116.56774,100,,,,,,
,,,,,17188,-192.273,83,,,,,,
,,,,,17349,-230.90982,161,,,,,,
,,,,,17477,-68.483925,128,,,,,,
,,,,,17570,-354.05646,93,,,,,,
,,,,,17658,-131.40729,88,,,,,,
,,,,,17761,-457.02966,103,,,,,,
,,,,,17830,-211.12868,69,,,,,,
,,,,,17943,-429.05148,113,,,,,,
,,,,,18069,-75.18908,126,,,,,,
,,,,,18160,-290.05756,91,,,,,,
,,,,,18282,-204.31033,122,,,,,,
,,,,,18432,-345.188,150,,,,,,
,,,,,18533,-340.31494,101,,,,,,
,,,,,18606,-214.67883,73,,,,,,
,,,,,18723,-483.67197,117,,,,,,
,,,,,18792,-82.14511,69,,,,,,
