step,v_loss,q_loss,policy_loss
48,6.1034702412143815e-06,4.1954706830438226e-05,2.0785956382751465
49,4.399822955747368e-06,6.82682657497935e-05,2.0781514644622803
50,2.7671644602378365e-06,3.0128010621410795e-05,2.0797317028045654
51,4.330810952524189e-06,5.5031876399880275e-05,2.080410957336426
52,3.974565970565891e-06,4.74540502182208e-05,2.078967571258545
53,5.013753252569586e-06,3.840299177682027e-05,2.079343318939209
54,4.231329967296915e-06,3.6276069295126945e-05,2.0786728858947754
55,4.148693733441178e-06,3.4509321267250925e-05,2.0790114402770996
56,4.570113560475875e-06,3.473099059192464e-05,2.0800256729125977
57,3.559309789125109e-06,3.655531327240169e-05,2.077606201171875
58,3.4156482797698118e-06,4.2133200622629374e-05,2.0793423652648926
59,2.782539468171308e-06,4.401078695082106e-05,2.0793848037719727
60,2.595655132608954e-06,3.7647558201570064e-05,2.078765392303467
61,1.936460876095225e-06,3.10214891214855e-05,2.0787200927734375
62,2.2362726213032147e-06,3.4966251405421644e-05,2.0784106254577637
63,1.7733557342580752e-06,4.672151044360362e-05,2.0786895751953125
64,1.794092213458498e-06,2.5963119696825743e-05,2.0782723426818848
65,2.2840083602204686e-06,4.028467810712755e-05,2.078141689300537
66,1.7421905340597732e-06,3.5113971534883603e-05,2.078538417816162
67,1.4203992577677127e-06,2.9432500014081597e-05,2.079500198364258
68,1.8598543647385668e-06,3.567766907508485e-05,2.0791280269622803
69,3.2080611163110007e-06,4.327296846895479e-05,2.079789876937866
70,2.3274201339518186e-06,3.736847429536283e-05,2.0790657997131348
71,2.545819825172657e-06,3.237531200284138e-05,2.0789690017700195
72,2.747817916315398e-06,3.6070607166038826e-05,2.0794925689697266
73,2.045549763352028e-06,3.856301191262901e-05,2.078547477722168
74,3.954219209845178e-06,3.439418651396409e-05,2.079158306121826
75,2.1641969851771137e-06,4.170608372078277e-05,2.0787901878356934
76,1.227010102411441e-06,3.280802411609329e-05,2.0780487060546875
77,2.3023280846246053e-06,3.161602217005566e-05,2.0781242847442627
78,2.2508604615723016e-06,4.133770562475547e-05,2.0786666870117188
79,3.4516324376454577e-06,3.959459354518913e-05,2.078031063079834
80,3.611739430198213e-06,3.411519355722703e-05,2.0781850814819336
81,4.224690201226622e-06,4.7207715397235006e-05,2.0790228843688965
82,4.127974534640089e-06,3.623678639996797e-05,2.077861785888672
83,3.5093053156742826e-06,4.072253796039149e-05,2.0786027908325195
84,2.414005393802654e-06,3.0929979402571917e-05,2.079005241394043
85,1.9997080471512163e-06,3.3683500078041106e-05,2.078221321105957
86,1.3278347523737466e-06,2.9466078558471054e-05,2.0783960819244385
87,1.7547235984238796e-06,4.8659650929039344e-05,2.0785341262817383
88,2.516962922527455e-06,4.138607619097456e-05,2.07886004447937
89,3.6315391298558097e-06,4.800542228622362e-05,2.079357624053955
90,3.4103586585843004e-06,3.213268064428121e-05,2.078603506088257
91,2.699576725717634e-06,2.9501188691938296e-05,2.07969069480896
92,2.7216067337576533e-06,4.9907950597116724e-05,2.078484535217285
93,2.4934981865953887e-06,2.3666612833039835e-05,2.0786592960357666
94,1.998518882828648e-06,3.596397436922416e-05,2.0782980918884277
95,2.9244165489217266e-06,4.7115776396822184e-05,2.0780115127563477
96,1.5105957800187753e-06,2.782537558232434e-05,2.0780422687530518
97,2.023976321652299e-06,3.004011341545265e-05,2.077986240386963
98,2.0256798052287195e-06,3.724225825862959e-05,2.078050136566162
99,2.649584303071606e-06,3.4694548958214e-05,2.0786807537078857
100,3.2379550702898996e-06,3.995908627985045e-05,2.0768632888793945
101,2.5174408619932365e-06,2.890773248509504e-05,2.0785064697265625
102,2.0255706658645067e-06,3.0039667763048783e-05,2.078749418258667
103,2.441540118525154e-06,4.1209670598618686e-05,2.0787477493286133
104,2.2796884877607226e-06,3.1628998840460554e-05,2.0785088539123535
105,1.6987487470032647e-06,2.7888956537935883e-05,2.078129291534424
106,1.5663529211451532e-06,2.987206789839547e-05,2.0789663791656494
107,1.5761975191708189e-06,2.651616705406923e-05,2.078463554382324
108,1.5078179558258853e-06,5.173232057131827e-05,2.0782294273376465
109,1.796202354853449e-06,2.3311016775551252e-05,2.0779869556427
110,1.6174830079762614e-06,2.3280459572561085e-05,2.077728271484375
