Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-234.59647,75.196,-102.93308,-362.23236,1000.0,0,,,,,,,,,,,,
,,,,,999,-378.69308,1000,,,,,,,,,,
,,,,,1999,-233.69093,1000,,,,,,,,,,
,,,,,2999,-302.08606,1000,,,,,,,,,,
,,,,,3999,-217.10005,1000,,,,,,,,,,
,,,,,4999,-411.29422,1000,,,,,,,,,,
-245.05966,82.26043,-121.25296,-344.93073,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-234.96661,1000,,,,,,,,,,
,,,,,6999,-220.04639,1000,,,,,,,,,,
,,,,,7999,-247.59991,1000,,,,,,,,,,
,,,,,8999,-179.68976,1000,,,,,,,,,,
,,,,,9999,-300.65967,1000,,,,,,,,,,
-243.34258,54.288597,-178.21956,-351.7244,1000.0,10000,,,-1.8885908126831055,3.7416419982910156,2.7803196907043457,-0.021606402471661568,1.469848394393921,0.5,-6.706406593322754,0.0003,0.0003,0.49994999170303345
,,,,,10999,-213.91325,1000,,,,,,,,,,
,,,,,11000,,,-10.561956405639648,3.9836769104003906,0.7064167857170105,8.597661972045898,8.637348175048828,0.452455073595047,-7.886294841766357,0.0003,0.0003,0.45240989327430725
,,,,,11999,-204.2129,1000,,,,,,,,,,
,,,,,12000,,,-17.30655288696289,3.895524024963379,0.7739787101745605,15.529570579528809,15.613202095031738,0.40942585468292236,-8.873534202575684,0.0003,0.0003,0.40938496589660645
,,,,,12999,-204.50134,1000,,,,,,,,,,
,,,,,13000,,,-23.55681800842285,3.7597579956054688,0.8964875936508179,21.915367126464844,21.805736541748047,0.370562881231308,-9.717578887939453,0.0003,0.0003,0.37052610516548157
,,,,,13999,-180.15413,1000,,,,,,,,,,
,,,,,14000,,,-28.517024993896484,3.696610927581787,1.1534677743911743,26.88452911376953,27.086647033691406,0.33564966917037964,-10.526183128356934,0.0003,0.0003,0.33561649918556213
,,,,,14999,-224.90497,1000,,,,,,,,,,
-181.759,47.954964,-112.55674,-252.32083,1000.0,15000,,,-33.17443084716797,3.503842830657959,1.1147321462631226,31.807632446289062,31.782800674438477,0.3041052520275116,-11.277311325073242,0.0003,0.0003,0.30407509207725525
,,,,,15999,-137.68292,1000,,,,,,,,,,
,,,,,16000,,,-37.18903732299805,3.4317004680633545,1.1535295248031616,35.871368408203125,35.66492462158203,0.27544209361076355,-12.114022254943848,0.0003,0.0003,0.27541491389274597
,,,,,16999,-252.27171,1000,,,,,,,,,,
,,,,,17000,,,-40.27170181274414,3.3387398719787598,1.0470874309539795,38.87920379638672,38.9062614440918,0.24949759244918823,-12.841329574584961,0.0003,0.0003,0.24947308003902435
,,,,,17999,-174.49301,1000,,,,,,,,,,
,,,,,18000,,,-42.995269775390625,3.2768633365631104,0.7559046149253845,41.7404899597168,41.77232360839844,0.22608309984207153,-13.64822006225586,0.0003,0.0003,0.2260608673095703
,,,,,18999,-188.71173,1000,,,,,,,,,,
,,,,,19000,,,-44.93431091308594,2.9806056022644043,0.8414138555526733,43.843101501464844,43.78776168823242,0.20489291846752167,-14.402957916259766,0.0003,0.0003,0.20487277209758759
,,,,,19999,-189.5777,1000,,,,,,,,,,
-187.39948,42.13209,-86.610374,-236.39801,1000.0,20000,,,-47.27861022949219,2.9093141555786133,0.9090246558189392,46.097572326660156,46.088172912597656,0.1856607347726822,-15.175878524780273,0.0003,0.0003,0.1856422871351242
,,,,,20999,-191.14351,1000,,,,,,,,,,
,,,,,21000,,,-48.26040267944336,2.7644410133361816,0.8831744194030762,47.28981018066406,47.084312438964844,0.16820241510868073,-15.611063957214355,0.0003,0.0003,0.16818587481975555
,,,,,21999,-151.10652,1000,,,,,,,,,,
,,,,,22000,,,-48.74141311645508,2.7895734310150146,0.5433205962181091,47.76335144042969,47.74941635131836,0.15239167213439941,-16.609479904174805,0.0003,0.0003,0.15237660706043243
,,,,,22999,-97.82942,1000,,,,,,,,,,
,,,,,23000,,,-50.02156448364258,2.7375717163085938,0.5804850459098816,49.139488220214844,49.101810455322266,0.1380510926246643,-17.249509811401367,0.0003,0.0003,0.13803741335868835
,,,,,23999,14.210508,1000,,,,,,,,,,
,,,,,24000,,,-49.69999313354492,2.4738855361938477,0.5555694699287415,48.86368179321289,48.894744873046875,0.1251278817653656,-17.661090850830078,0.0003,0.0003,0.12511566281318665
,,,,,24999,19.97819,1000,,,,,,,,,,
