Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-231.14104,51.091232,-110.86732,-306.23886,1000.0,0,,,,,,,,,,,,
,,,,,999,-174.16617,1000,,,,,,,,,,
,,,,,1999,-213.08391,1000,,,,,,,,,,
,,,,,2999,-277.6773,1000,,,,,,,,,,
,,,,,3999,-227.87035,1000,,,,,,,,,,
,,,,,4999,-482.17017,1000,,,,,,,,,,
-219.95126,54.0262,-134.30392,-322.3026,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-227.44221,1000,,,,,,,,,,
,,,,,6999,-334.01178,1000,,,,,,,,,,
,,,,,7999,-192.20586,1000,,,,,,,,,,
,,,,,8999,-172.74187,1000,,,,,,,,,,
,,,,,9999,-243.7587,1000,,,,,,,,,,
-241.59232,88.55909,-137.76448,-364.8633,1000.0,10000,,,-0.14163881540298462,3.74554443359375,0.45887458324432373,-0.012422418221831322,-0.13266588747501373,0.04999999701976776,-29.037227630615234,0.0003,0.0003,0.04999500513076782
,,,,,10999,-284.83994,1000,,,,,,,,,,
,,,,,11000,,,-1.5104484558105469,0.8288018703460693,0.4317261576652527,0.9290679097175598,0.9823367595672607,0.04532042518258095,-20.952621459960938,0.0003,0.0003,0.04531599581241608
,,,,,11999,-270.6934,1000,,,,,,,,,,
,,,,,12000,,,-2.2372467517852783,1.3333735466003418,0.6625152826309204,1.839558482170105,1.83159601688385,0.040996816009283066,-23.523271560668945,0.0003,0.0003,0.040992654860019684
,,,,,12999,-252.8915,1000,,,,,,,,,,
,,,,,13000,,,-3.4172518253326416,-0.23465684056282043,0.770327091217041,2.7070493698120117,2.8594279289245605,0.03737616911530495,-19.167436599731445,0.0003,0.0003,0.03737282007932663
,,,,,13999,-240.3158,1000,,,,,,,,,,
,,,,,14000,,,-5.731715202331543,-1.0777428150177002,0.6572723388671875,4.906996250152588,4.988264560699463,0.034238193184137344,-16.641359329223633,0.0003,0.0003,0.0342351496219635
,,,,,14999,-156.32767,1000,,,,,,,,,,
-101.67773,44.852524,-16.414648,-172.21274,1000.0,15000,,,-8.321017265319824,-1.4943981170654297,0.5891467332839966,7.442318916320801,7.4482316970825195,0.031393617391586304,-15.20633316040039,0.0003,0.0003,0.03139093145728111
,,,,,15999,-16.951757,1000,,,,,,,,,,
,,,,,16000,,,-10.692922592163086,-2.0067620277404785,0.5950591564178467,9.845464706420898,9.870535850524902,0.028760172426700592,-13.27083969116211,0.0003,0.0003,0.028757566586136818
,,,,,16999,-42.856827,1000,,,,,,,,,,
,,,,,17000,,,-11.870931625366211,-2.3997128009796143,0.4623270630836487,11.115315437316895,11.137563705444336,0.026338092982769012,-11.586860656738281,0.0003,0.0003,0.026335887610912323
,,,,,17999,79.32765,1000,,,,,,,,,,
,,,,,18000,,,-13.056082725524902,-2.6303231716156006,0.4111894369125366,12.386495590209961,12.510258674621582,0.024127105250954628,-11.39341926574707,0.0003,0.0003,0.024125022813677788
,,,,,18999,199.46475,1000,,,,,,,,,,
,,,,,19000,,,-15.806078910827637,-3.8080525398254395,0.4302566647529602,14.980756759643555,15.069052696228027,0.022150889039039612,-9.41002082824707,0.0003,0.0003,0.022148972377181053
,,,,,19999,297.03818,1000,,,,,,,,,,
649.28033,156.47963,880.4042,381.99023,1000.0,20000,,,-16.00224494934082,-3.8785500526428223,0.427667498588562,15.232137680053711,15.203065872192383,0.02042999491095543,-8.142416954040527,0.0003,0.0003,0.020428456366062164
,,,,,20999,783.6345,1000,,,,,,,,,,
,,,,,21000,,,-19.340648651123047,-4.504935264587402,0.3898826241493225,18.52978515625,18.627445220947266,0.01899084448814392,-6.131126880645752,0.0003,0.0003,0.018989522010087967
,,,,,21999,475.4468,1000,,,,,,,,,,
,,,,,22000,,,-21.802518844604492,-5.186962127685547,0.366388201713562,20.913305282592773,21.0587158203125,0.017797410488128662,-4.3607282638549805,0.0003,0.0003,0.017796164378523827
,,,,,22999,671.42114,1000,,,,,,,,,,
,,,,,23000,,,-23.580041885375977,-5.3635029792785645,0.4744165539741516,22.80096435546875,22.78260040283203,0.016744347289204597,-2.7166519165039062,0.0003,0.0003,0.016743574291467667
,,,,,23999,1041.834,1000,,,,,,,,,,
,,,,,24000,,,-26.376134872436523,-5.632274627685547,0.4934336841106415,25.60348892211914,25.471633911132812,0.015935910865664482,-1.0252701044082642,0.0003,0.0003,0.01593508943915367
,,,,,24999,875.5372,1000,,,,,,,,,,
829.80225,211.97481,1216.0793,528.0149,1000.0,25000,,,-29.26825714111328,-5.32733154296875,0.48257556557655334,28.475025177001953,28.567562103271484,0.015399695374071598,-1.43986976146698,0.0003,0.0003,0.015399357303977013
,,,,,25999,1266.8805,1000,,,,,,,,,,
,,,,,26000,,,-34.95691680908203,-5.701395034790039,0.42197248339653015,34.167213439941406,34.20862579345703,0.015182539820671082,-1.0145478248596191,0.0003,0.0003,0.015182090923190117
,,,,,26999,1083.8999,1000,,,,,,,,,,
,,,,,27000,,,-34.59357833862305,-6.515470027923584,0.4592028856277466,33.66286849975586,33.695167541503906,0.015492305159568787,0.7109639644622803,0.0003,0.0003,0.015492918901145458
,,,,,27999,1622.7378,1000,,,,,,,,,,
