Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,42000,,,1.8282510042190552,4.836803436279297,4.45890998840332,46.59321212768555,0.9546250000000001,9.97915625e-05
,,,,,42247,180.0,1746,,,,,,
,,,,,42655,180.0,1658,,,,,,
,,,,,43000,,,1.7073993682861328,7.383984565734863,6.566989421844482,106.36248779296875,0.9525625,9.968739583333334e-05
,,,,,43175,220.0,2090,,,,,,
,,,,,43789,390.0,2482,,,,,,
,,,,,44000,,,17.22345542907715,6.5927629470825195,6.797619819641113,113.0716552734375,0.9505,9.958322916666667e-05
,,,,,44236,240.0,1818,,,,,,
,,,,,44797,180.0,2258,,,,,,
,,,,,45000,,,1.366042137145996,7.785651206970215,7.568414688110352,44.384857177734375,0.9484375,9.947906250000001e-05
,,,,,45425,490.0,2514,,,,,,
,,,,,45889,230.0,1858,,,,,,
,,,,,46000,,,2.8115909099578857,7.519833087921143,7.938320159912109,76.1102066040039,0.946375,9.937489583333334e-05
,,,,,46349,160.0,1866,,,,,,
,,,,,46887,260.0,2162,,,,,,
,,,,,47000,,,9.909128189086914,8.123565673828125,8.7818603515625,166.3421630859375,0.9443125,9.927072916666668e-05
,,,,,47366,250.0,1938,,,,,,
,,,,,47902,280.0,2162,,,,,,
,,,,,48000,,,6.962141990661621,8.940582275390625,8.914666175842285,114.4158706665039,0.94225,9.916656250000001e-05
,,,,,48396,270.0,1986,,,,,,
,,,,,48830,250.0,1762,,,,,,
,,,,,49000,,,2.7775611877441406,7.210957050323486,6.629570007324219,97.11160278320312,0.9401875,9.906239583333335e-05
,,,,,49403,270.0,2306,,,,,,
,,,,,49874,270.0,1898,,,,,,
280.0,27.92848,330.0,240.0,1587.6,50000,,,7.8789215087890625,9.275224685668945,9.837647438049316,130.97047424316406,0.938125,9.895822916666668e-05
,,,,,50398,340.0,2122,,,,,,
,,,,,50824,150.0,1722,,,,,,
,,,,,51000,,,4.898838520050049,11.405120849609375,10.839103698730469,144.35867309570312,0.9360625,9.88540625e-05
,,,,,51310,250.0,1962,,,,,,
,,,,,51661,150.0,1426,,,,,,
,,,,,52000,,,8.164443969726562,8.437058448791504,8.964548110961914,128.3179168701172,0.9339999999999999,9.874989583333334e-05
,,,,,52179,330.0,2098,,,,,,
,,,,,52547,160.0,1474,,,,,,
,,,,,53000,,,8.406063079833984,10.379232406616211,11.1459321975708,187.8948974609375,0.9319375,9.864572916666666e-05
,,,,,53104,280.0,2234,,,,,,
,,,,,53492,260.0,1578,,,,,,
,,,,,54000,,,1.159704566001892,7.960133075714111,8.195813179016113,64.34449768066406,0.929875,9.85415625e-05
,,,,,54058,310.0,2282,,,,,,
,,,,,54586,300.0,2138,,,,,,
,,,,,55000,,,1.6740695238113403,9.984993934631348,10.101739883422852,47.462913513183594,0.9278125,9.843739583333333e-05
,,,,,55075,230.0,1978,,,,,,
,,,,,55652,370.0,2306,,,,,,
,,,,,56000,,,2.072361469268799,10.754011154174805,9.982833862304688,174.46347045898438,0.92575,9.833322916666668e-05
,,,,,56034,250.0,1554,,,,,,
,,,,,56516,240.0,1938,,,,,,
,,,,,57000,,,9.65715503692627,14.97620964050293,14.597235679626465,201.5721435546875,0.9236875,9.82290625e-05
,,,,,57010,220.0,1994,,,,,,
,,,,,57629,350.0,2482,,,,,,
,,,,,58000,,,3.8387134075164795,10.375598907470703,10.59107780456543,127.50447082519531,0.921625,9.812489583333335e-05
,,,,,58119,210.0,1986,,,,,,
,,,,,58593,300.0,1898,,,,,,
,,,,,59000,,,4.440638542175293,12.368244171142578,12.07779598236084,132.98190307617188,0.9195625000000001,9.802072916666668e-05
,,,,,59095,280.0,2018,,,,,,
,,,,,59618,340.0,2114,,,,,,
96.0,26.153393,120.0,60.0,1874.0,60000,,,10.110429763793945,13.665738105773926,14.282726287841797,188.3385772705078,0.9175,9.79165625e-05
,,,,,60306,370.0,2770,,,,,,
,,,,,60759,210.0,1826,,,,,,
,,,,,61000,,,7.906247138977051,12.493017196655273,12.211620330810547,179.6396026611328,0.9154375,9.781239583333333e-05
,,,,,61219,170.0,1842,,,,,,
,,,,,61830,320.0,2466,,,,,,
,,,,,62000,,,8.153898239135742,12.887714385986328,13.576764106750488,175.16842651367188,0.913375,9.770822916666668e-05
,,,,,62278,250.0,1810,,,,,,
,,,,,62681,220.0,1634,,,,,,
,,,,,63000,,,9.843999862670898,15.050470352172852,15.255841255187988,170.7328338623047,0.9113125,9.76040625e-05
,,,,,63178,230.0,2010,,,,,,
,,,,,63688,190.0,2050,,,,,,
,,,,,64000,,,5.3865766525268555,15.614456176757812,14.490999221801758,232.7720184326172,0.90925,9.749989583333335e-05
,,,,,64396,970.0,2834,,,,,,
,,,,,65000,,,4.776432991027832,13.278956413269043,12.5095853805542,198.79080200195312,0.9071875,9.739572916666667e-05
,,,,,65238,830.0,3386,,,,,,
,,,,,65884,550.0,2610,,,,,,
,,,,,66000,,,5.380883693695068,13.023040771484375,12.704727172851562,127.67829132080078,0.905125,9.72915625e-05
,,,,,66409,290.0,2106,,,,,,
,,,,,66787,210.0,1538,,,,,,
,,,,,67000,,,16.05185890197754,15.826908111572266,16.45159912109375,90.89675903320312,0.9030625,9.718739583333334e-05
,,,,,67300,290.0,2074,,,,,,
,,,,,67794,290.0,1986,,,,,,
,,,,,68000,,,5.512529373168945,18.31525230407715,18.200645446777344,110.1844711303711,0.901,9.708322916666667e-05
,,,,,68260,230.0,1874,,,,,,
,,,,,68752,340.0,1986,,,,,,
,,,,,69000,,,7.929959297180176,12.089479446411133,12.976519584655762,189.35865783691406,0.8989375,9.69790625e-05
,,,,,69291,270.0,2154,,,,,,
,,,,,69828,270.0,2146,,,,,,
584.0,233.07509,930.0,290.0,2454.0,70000,,,12.437854766845703,17.92831039428711,16.594566345214844,418.96405029296875,0.896875,9.687489583333333e-05
,,,,,70321,190.0,1994,,,,,,
,,,,,70882,260.0,2266,,,,,,
,,,,,71000,,,11.493826866149902,17.854625701904297,19.45395278930664,454.74774169921875,0.8948125,9.677072916666667e-05
,,,,,71359,190.0,1930,,,,,,
,,,,,71809,240.0,1826,,,,,,
,,,,,72000,,,51.783843994140625,16.462142944335938,17.542076110839844,1201.8739013671875,0.89275,9.66665625e-05
,,,,,72435,400.0,2530,,,,,,
,,,,,72837,150.0,1626,,,,,,
,,,,,73000,,,8.036385536193848,17.121578216552734,18.13727569580078,259.91778564453125,0.8906875,9.656239583333334e-05
,,,,,73399,300.0,2266,,,,,,
,,,,,73905,230.0,2026,,,,,,
,,,,,74000,,,8.663959503173828,16.675132751464844,17.484025955200195,238.00265502929688,0.888625,9.645822916666667e-05
,,,,,74765,810.0,3466,,,,,,
,,,,,75000,,,5.288839340209961,23.56015396118164,23.892131805419922,177.7835693359375,0.8865625,9.635406250000001e-05
,,,,,75239,220.0,1914,,,,,,
,,,,,75721,190.0,1938,,,,,,
,,,,,76000,,,6.003304481506348,17.160377502441406,18.058427810668945,289.4419250488281,0.8845,9.624989583333334e-05
,,,,,76232,290.0,2050,,,,,,
,,,,,76740,210.0,2034,,,,,,
,,,,,77000,,,7.922935485839844,22.016559600830078,22.324119567871094,180.3555908203125,0.8824375,9.614572916666667e-05
,,,,,77259,240.0,2098,,,,,,
,,,,,77782,350.0,2114,,,,,,
,,,,,78000,,,6.962836742401123,16.9212703704834,17.850160598754883,295.6717529296875,0.880375,9.60415625e-05
,,,,,78506,420.0,2906,,,,,,
,,,,,78892,200.0,1570,,,,,,
,,,,,79000,,,6.379983425140381,21.4982852935791,20.86695098876953,166.1687774658203,0.8783125,9.593739583333334e-05
,,,,,79430,290.0,2162,,,,,,
,,,,,79916,170.0,1970,,,,,,
258.0,23.151674,280.0,230.0,2474.0,80000,,,4.554038047790527,18.73390007019043,18.9522647857666,142.1484832763672,0.87625,9.583322916666667e-05
,,,,,80255,150.0,1378,,,,,,
,,,,,80743,360.0,1954,,,,,,
,,,,,81000,,,6.119218826293945,20.835552215576172,20.76805877685547,152.53501892089844,0.8741875,9.57290625e-05
,,,,,81350,310.0,2434,,,,,,
,,,,,81841,130.0,1978,,,,,,
,,,,,82000,,,5.670546531677246,20.095645904541016,19.405200958251953,252.78472900390625,0.872125,9.562489583333334e-05
,,,,,82240,220.0,1610,,,,,,
,,,,,82780,400.0,2162,,,,,,
,,,,,83000,,,7.141600608825684,21.106544494628906,21.649206161499023,231.01385498046875,0.8700625,9.552072916666667e-05
,,,,,83249,280.0,1898,,,,,,
,,,,,83679,210.0,1722,,,,,,
,,,,,84000,,,4.829860687255859,22.45092010498047,21.098175048828125,376.7455749511719,0.868,9.541656250000001e-05
,,,,,84176,320.0,1986,,,,,,
,,,,,84658,280.0,1938,,,,,,
,,,,,85000,,,5.667461395263672,22.794858932495117,21.178468704223633,525.606689453125,0.8659375,9.531239583333334e-05
,,,,,85186,220.0,2114,,,,,,
,,,,,85634,250.0,1810,,,,,,
,,,,,86000,,,6.3578596115112305,21.583568572998047,21.30962562561035,185.72174072265625,0.863875,9.520822916666667e-05
,,,,,86137,240.0,2042,,,,,,
,,,,,86593,240.0,1842,,,,,,
,,,,,87000,,,10.331515312194824,26.903017044067383,25.279151916503906,472.01739501953125,0.8618125,9.51040625e-05
,,,,,87028,320.0,1754,,,,,,
,,,,,87818,500.0,3162,,,,,,
,,,,,88000,,,5.029310703277588,27.522207260131836,26.766895294189453,342.10650634765625,0.85975,9.499989583333334e-05
,,,,,88374,300.0,2250,,,,,,
,,,,,88919,280.0,2202,,,,,,
,,,,,89000,,,2.9057235717773438,20.76601791381836,20.316539764404297,125.0988998413086,0.8576875,9.489572916666667e-05
,,,,,89460,240.0,2186,,,,,,
,,,,,89949,310.0,1962,,,,,,
381.0,143.90622,600.0,270.0,2310.0,90000,,,8.317366600036621,26.954090118408203,26.985492706298828,188.01983642578125,0.855625,9.479156250000001e-05
,,,,,90795,390.0,3394,,,,,,
,,,,,91000,,,15.706384658813477,21.975435256958008,20.417037963867188,641.6478881835938,0.8535625,9.468739583333334e-05
,,,,,91138,150.0,1386,,,,,,
,,,,,91610,180.0,1914,,,,,,
,,,,,92000,,,5.078154563903809,25.993595123291016,25.795459747314453,164.56097412109375,0.8515,9.458322916666668e-05
,,,,,92186,380.0,2322,,,,,,
,,,,,92640,310.0,1818,,,,,,
