Step,Date,Portfolio_Value,Step_Reward,w_SPY,w_EEM,w_TLT,w_HYG,w_DBC,w_GLD,w_UUP,w_SHY
25,,0.9822167916163256,0.0037906447276278,0.11043249815702438,0.11043253540992737,0.11043249815702438,0.11043249815702438,0.11043256521224976,0.11043382436037064,0.22697104513645172,0.11043249815702438
26,,0.9902707044909514,0.008166295248008295,0.055064667016267776,0.055064667016267776,0.05507851764559746,0.05506480112671852,0.055064667016267776,0.6145334243774414,0.055064667016267776,0.055064667016267776
27,,0.9879044087345764,-0.0023924038566636254,0.030054258182644844,0.030054258182644844,0.030054258182644844,0.030054258182644844,0.030054258182644844,0.030054258182644844,0.7896202206611633,0.030054258182644844
28,,0.9820832378553754,-0.005909872411710356,0.3802253305912018,0.01819750852882862,0.01817227154970169,0.018169116228818893,0.018168525770306587,0.33567336201667786,0.19322536885738373,0.018168525770306587
29,,0.9892171610085514,0.007237815505324044,0.03351322561502457,0.22835808992385864,0.03351322561502457,0.03351322561502457,0.3814973533153534,0.2225758135318756,0.033515844494104385,0.03351322561502457
30,,0.9867875018961126,-0.0024591645783994327,0.1249745562672615,0.1249745562672615,0.1249813362956047,0.1249745562672615,0.1249745711684227,0.1249745562672615,0.12517134845256805,0.1249745562672615
31,,0.9867929843836134,5.555879315778679e-06,0.12499959766864777,0.12499959766864777,0.12499959766864777,0.12499961256980896,0.12499959766864777,0.12499959766864777,0.12500283122062683,0.12499959766864777
32,,0.996451055839735,0.00973974721146423,0.09805074334144592,0.09805074334144592,0.13734379410743713,0.09805074334144592,0.09858405590057373,0.27381807565689087,0.0980510413646698,0.09805074334144592
33,,1.001549304365469,0.005103362033662056,0.12426941096782684,0.12426941096782684,0.13010501861572266,0.12426941096782684,0.12426941096782684,0.12426941096782684,0.1242784634232521,0.12426941096782684
34,,1.0036812319116004,0.0021263673286871917,0.07539545744657516,0.07539545744657516,0.46991240978240967,0.07539545744657516,0.07771220058202744,0.07539545744657516,0.07539812475442886,0.07539545744657516
35,,1.0065548209174753,0.002858958736849253,0.24205492436885834,0.07467203587293625,0.07467221468687057,0.07467203587293625,0.1482994109392166,0.23620453476905823,0.07467203587293625,0.0747527927160263
36,,1.0098623677856002,0.0032806205512461366,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
37,,1.0166605341362973,0.006709217887507439,0.12499852478504181,0.12499789893627167,0.12499789893627167,0.12499789893627167,0.12499789893627167,0.12499789893627167,0.124998077750206,0.12501396238803864
38,,1.0182877330709599,0.0015992537085060105,0.12484084814786911,0.12484084814786911,0.12484084814786911,0.12484084814786911,0.12484084814786911,0.12484084814786911,0.12574927508831024,0.1252056509256363
39,,1.0201891686885394,0.0018655459548216247,0.12499924004077911,0.12499924004077911,0.12499924004077911,0.12499924004077911,0.12499924004077911,0.12499924004077911,0.12499924004077911,0.125005304813385
40,,1.006462321079395,-0.01354653979155564,0.05636627599596977,0.11835024505853653,0.05727624520659447,0.05636627599596977,0.4787035286426544,0.069163478910923,0.10740692913532257,0.05636703595519066
41,,1.0088773747857742,0.0023966727468802177,0.12103422731161118,0.1527603417634964,0.12103423476219177,0.12103421241044998,0.12103421241044998,0.12103421241044998,0.12103424966335297,0.12103421241044998
42,,1.0012124236201247,-0.00762651332644182,0.12487897276878357,0.12547439336776733,0.12524522840976715,0.12487897276878357,0.12487897276878357,0.12487897276878357,0.12488552182912827,0.12487898766994476
43,,1.0095325702512996,0.008275732767863442,0.11814077198505402,0.17301464080810547,0.11814077198505402,0.11814077198505402,0.11814077198505402,0.11814077198505402,0.11814077198505402,0.11814077198505402
44,,1.0043968564749897,-0.005100203453704241,0.04737212508916855,0.051291294395923615,0.09656485915184021,0.04737212508916855,0.04737212881445885,0.047844048589468,0.43978795409202576,0.2223954200744629
45,,1.0017053432103276,-0.002683327778662252,0.01571301370859146,0.015541166067123413,0.15258371829986572,0.01998039521276951,0.20057342946529388,0.015729540959000587,0.18788136541843414,0.391997367143631
46,,1.0012082440115655,-0.0004963760914499441,0.019717421382665634,0.019854947924613953,0.09375368058681488,0.14933177828788757,0.09121448546648026,0.35769298672676086,0.24874478578567505,0.01968991756439209
47,,1.0147060438961766,0.013391443950978483,0.12415546923875809,0.12383700907230377,0.1328224390745163,0.12383700907230377,0.12383700907230377,0.12383700907230377,0.12383700907230377,0.12383700907230377
48,,1.01449712224279,-0.0002059149695910194,0.12486192584037781,0.12486192584037781,0.12486392259597778,0.12596431374549866,0.12486213445663452,0.12486192584037781,0.12486192584037781,0.12486192584037781
49,,1.0129761596806373,-0.0015003530364896048,0.11588478088378906,0.11588478088378906,0.11611606180667877,0.11588478088378906,0.11588478088378906,0.11588478088378906,0.18857446312904358,0.11588554084300995
50,,1.0090005266661566,-0.003932427277312378,0.06994829326868057,0.06994829326868057,0.06994850933551788,0.06994829326868057,0.5018864274024963,0.0699487254023552,0.07842329889535904,0.06994829326868057
51,,0.9994421811962447,-0.009518237782321961,0.099538654088974,0.099538654088974,0.09953909367322922,0.1959734559059143,0.0995386615395546,0.099538654088974,0.20679420232772827,0.099538654088974
52,,1.0126108693887306,0.01308998907719133,0.12497714906930923,0.12511137127876282,0.12497838586568832,0.12497714906930923,0.12498991191387177,0.12497714906930923,0.12501172721385956,0.12497714906930923
53,,0.99434235434659,-0.018205725387640606,0.12499850988388062,0.12499850988388062,0.1250099092721939,0.12499850988388062,0.12499850988388062,0.12499897181987762,0.12499850988388062,0.12499850988388062
54,,0.9949096230003592,0.0005703336486336407,0.06816929578781128,0.42546015977859497,0.06816929578781128,0.06816929578781128,0.06816929578781128,0.16549433767795563,0.06819891184568405,0.06816938519477844
55,,1.003898975484135,0.008994771283408916,0.12499858438968658,0.12499858438968658,0.12499858438968658,0.12499858438968658,0.12500987946987152,0.12499858438968658,0.12499858438968658,0.12499858438968658
56,,1.0090501078070888,0.005118006818719209,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
57,,1.0093741761619406,0.00032111024447154196,0.12498109042644501,0.12498109042644501,0.12498109042644501,0.12498109042644501,0.12498109042644501,0.12498109042644501,0.12513232231140137,0.12498109042644501
58,,1.0083712920230252,-0.0009940641545852444,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
59,,1.0032842795684576,-0.005057548985729666,0.12498486042022705,0.12510591745376587,0.12498486042022705,0.12498486042022705,0.12498486042022705,0.12498486042022705,0.12498486042022705,0.12498486042022705
60,,1.0007072849322018,-0.002571863177831657,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
61,,1.0043135570826933,0.0035972454387881215,0.125,0.125,0.125,0.1250000149011612,0.125,0.1250000298023224,0.1250000298023224,0.125
62,,1.0107238991071732,0.006362525550003003,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
63,,1.0133167541040669,0.002562059621780643,0.07146312296390533,0.07146312296390533,0.07146312296390533,0.07146312296390533,0.07146316021680832,0.07146312296390533,0.4997580647468567,0.07146312296390533
64,,1.0146135833412961,0.0012789684044453708,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
65,,1.0200317631846556,0.005325933249332579,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
66,,1.0186311728809898,-0.001374028535313551,0.125,0.125,0.125,0.125,0.1250000298023224,0.125,0.125,0.125
67,,1.0202036204920724,0.0015424966534514778,0.125,0.1250000149011612,0.125,0.125,0.125,0.125,0.125,0.125
68,,1.021479410614652,0.0012497437351365098,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
69,,1.0153573725926759,-0.006011337293223719,0.12499409914016724,0.12504126131534576,0.12499409914016724,0.12499409914016724,0.12499412894248962,0.12499409914016724,0.12499409914016724,0.12499409914016724
70,,1.0148626210235372,-0.0004873871604932455,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
71,,1.0173554197693961,0.0024532800576317973,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
72,,1.0257997017253593,0.008265970554652944,0.125,0.125,0.125,0.1250000298023224,0.125,0.125,0.125,0.125
73,,1.0238627592909708,-0.0018900116949153625,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
74,,1.0260918544059392,0.0021747759473740914,0.12337514758110046,0.12337514758110046,0.12337514758110046,0.13637390732765198,0.12337514758110046,0.12337514758110046,0.12337514758110046,0.12337514758110046
75,,1.0256351237326296,-0.0004452158456953297,0.12498052418231964,0.12498052418231964,0.12498052418231964,0.12513619661331177,0.12498064339160919,0.12498052418231964,0.12498052418231964,0.12498052418231964
76,,1.02489781223335,-0.0007191413686881698,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
77,,1.0247978286338095,-9.755945968410172e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
78,,1.0191194773917318,-0.005556355762878107,0.11424954980611801,0.11424954980611801,0.11424954980611801,0.20025311410427094,0.11424954980611801,0.11424954980611801,0.11424954980611801,0.11424954980611801
79,,1.023562153292002,0.004349853485345733,0.09053990244865417,0.09053990244865417,0.09053990244865417,0.3659374713897705,0.09082312136888504,0.09053990244865417,0.09053990244865417,0.09053990244865417
80,,1.0249181937291025,0.0013239479081643179,0.12381007522344589,0.12381007522344589,0.1238800659775734,0.13094152510166168,0.12593944370746613,0.12399859726428986,0.12381007522344589,0.12381007522344589
81,,1.0168829127776622,-0.007870817982984345,0.12499943375587463,0.12499943375587463,0.12499943375587463,0.12500080466270447,0.12500262260437012,0.12499943375587463,0.12499944865703583,0.12499943375587463
82,,1.0201486863001756,0.0032064071288394652,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
83,,1.0208325148288127,0.0006700978469052077,0.12499868869781494,0.12499868869781494,0.12499868869781494,0.12499868869781494,0.12500792741775513,0.12499868869781494,0.12499868869781494,0.12499992549419403
84,,1.0241440823878185,0.0032387367740183202,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.1250000298023224
85,,1.0279739568552688,0.0037326107376050503,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
86,,1.0320108684870037,0.003919365569879411,0.10460582375526428,0.10460661351680756,0.10461196303367615,0.10552635788917542,0.26683175563812256,0.10460582375526428,0.10460582375526428,0.10460582375526428
87,,1.0262557191894182,-0.005592243813824877,0.12499991059303284,0.12499991059303284,0.12499991059303284,0.12499991059303284,0.12500056624412537,0.12499991059303284,0.12499991059303284,0.12499991059303284
88,,1.0324413079587165,0.006009244975548205,0.12499937415122986,0.12500432133674622,0.12499937415122986,0.12499937415122986,0.12499937415122986,0.12499937415122986,0.12499937415122986,0.12499937415122986
89,,1.0333638407074037,0.0008931460071237077,0.12499997019767761,0.1249999850988388,0.12500017881393433,0.12499997019767761,0.12499997019767761,0.12499997019767761,0.12499997019767761,0.12499997019767761
90,,1.0328641407370034,-0.00048368329596714104,0.1249777153134346,0.12515594065189362,0.1249777153134346,0.1249777153134346,0.12497776001691818,0.1249777153134346,0.1249777153134346,0.1249777153134346
91,,1.0297217096658164,-0.0030470814118615077,0.11345413327217102,0.11345414817333221,0.20582053065299988,0.11345413327217102,0.11345413327217102,0.11345464736223221,0.11345413327217102,0.11345413327217102
92,,1.0277107844915379,-0.001954791537837994,0.12499997019767761,0.1250002533197403,0.1249999850988388,0.12499997019767761,0.1249999850988388,0.12499997019767761,0.12499997019767761,0.12499997019767761
93,,1.0377282811840085,0.00970018956977867,0.1249992847442627,0.1250016689300537,0.1250026971101761,0.1249992847442627,0.1249992847442627,0.1249992847442627,0.1249992847442627,0.1249992847442627
94,,1.0429415564589042,0.005011161396303842,0.12499870359897614,0.12499870359897614,0.12499916553497314,0.12500861287117004,0.12499870359897614,0.12499870359897614,0.12499870359897614,0.12499870359897614
95,,1.0454576698352145,0.002409610731566504,0.125,0.125,0.125,0.1250000149011612,0.125,0.125,0.125,0.125
96,,1.0454401021176243,-1.680399474936198e-05,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
97,,1.0417891906892103,-0.003498336444803096,0.08485807478427887,0.4059741497039795,0.08485807478427887,0.08487287908792496,0.08485807478427887,0.08486220240592957,0.08485837280750275,0.08485811203718185
98,,1.0370630050098397,-0.004546926262278719,0.12499874830245972,0.12499874830245972,0.12499874830245972,0.12500159442424774,0.12499874830245972,0.12499874830245972,0.12500596046447754,0.12499874830245972
99,,1.033156464972316,-0.0037740391596400888,0.02526092901825905,0.025260934606194496,0.3137422800064087,0.5334832072257996,0.025260938331484795,0.025262383744120598,0.02645970694720745,0.02526966854929924
100,,1.0269723540876954,-0.006003633755526045,0.12501166760921478,0.12499788403511047,0.12499788403511047,0.12499788403511047,0.12499813735485077,0.12499788403511047,0.12500078976154327,0.12499788403511047
101,,1.028830976941626,0.0018081723404886696,0.15871749818325043,0.1027919203042984,0.10276830196380615,0.10276830196380615,0.10276847332715988,0.22464516758918762,0.1027720719575882,0.10276830196380615
102,,1.022931837599272,-0.0057503289910075875,0.1176854595541954,0.1176854595541954,0.1176854595541954,0.1176854595541954,0.117685467004776,0.11769776046276093,0.17618946731090546,0.1176854595541954
103,,1.026716920345543,0.0036934006710731535,0.12403880059719086,0.12403880059719086,0.12409025430679321,0.12403880059719086,0.1301834136247635,0.12403880059719086,0.125532329082489,0.12403880059719086
104,,1.0263056284974161,-0.0004006695921202626,0.12044501304626465,0.12044501304626465,0.12044501304626465,0.12044501304626465,0.15613317489624023,0.12044501304626465,0.12119678407907486,0.12044501304626465
105,,1.0204539120667595,-0.005718045777897968,0.12499986588954926,0.12499986588954926,0.12499986588954926,0.12499986588954926,0.12499986588954926,0.12499986588954926,0.12500090897083282,0.12499986588954926
106,,1.0158884981038014,-0.004483942965001524,0.12180963903665543,0.12180963903665543,0.14733250439167023,0.12180963903665543,0.12180963903665543,0.12180963903665543,0.12180963903665543,0.12180963903665543
107,,1.0259436125567347,0.009849189543665824,0.12486246228218079,0.12486246228218079,0.12486256659030914,0.12486246228218079,0.12486246228218079,0.12486246228218079,0.12596267461776733,0.12486246228218079
108,,1.021142374913749,-0.004690810719355052,0.034065116196870804,0.054581161588430405,0.034068454056978226,0.24664779007434845,0.03412294760346413,0.03583362698554993,0.25150787830352783,0.309173047542572
109,,1.023967006387277,0.002762329776058534,0.07755792140960693,0.07755792140960693,0.07755793631076813,0.07755792140960693,0.07766062766313553,0.07755793631076813,0.4569892883300781,0.07756050676107407
110,,1.0245894346188011,0.0006076749834357183,0.06929793953895569,0.06929793953895569,0.06936445832252502,0.069298155605793,0.06929793953895569,0.06929793953895569,0.5148476958274841,0.06929793953895569
111,,1.0156285508525198,-0.008784298002868207,0.629564642906189,0.05237570032477379,0.052374619990587234,0.05237463861703873,0.05237461254000664,0.05238442122936249,0.055942848324775696,0.052608538419008255
112,,1.0124911126087386,-0.003093940464221322,0.037391915917396545,0.03742251545190811,0.037392109632492065,0.7382258176803589,0.037391915917396545,0.037391915917396545,0.037391919642686844,0.037391915917396545
113,,1.0143437112720126,0.001828071194919928,0.1249827891588211,0.1249827891588211,0.1249827891588211,0.12499052286148071,0.12511073052883148,0.1249827891588211,0.12498462200164795,0.12498290836811066
114,,1.0142664572441658,-7.616448845930822e-05,0.12480858713388443,0.12480858713388443,0.12482286989688873,0.12480858713388443,0.1250506043434143,0.12480858713388443,0.12608356773853302,0.12480858713388443
115,,1.0162679481987038,0.0019713939319503508,0.1249992847442627,0.1249992847442627,0.1250048577785492,0.12499937415122986,0.12499940395355225,0.1249992847442627,0.1249992847442627,0.1249992847442627
116,,1.0182712984840765,0.0019693411528983037,0.1078987792134285,0.1078987792134285,0.10831048339605331,0.10794816166162491,0.10791334509849548,0.1078987792134285,0.2442328780889511,0.1078987792134285
117,,1.0005571636386879,-0.017549375600303632,0.04359852522611618,0.04359852522611618,0.048411592841148376,0.04359852522611618,0.6795766949653625,0.04359852522611618,0.05401906371116638,0.04359852522611618
118,,0.9945849821290259,-0.005986740703929419,0.12499870359897614,0.12499870359897614,0.12499870359897614,0.12499870359897614,0.12499870359897614,0.12499870359897614,0.12500910460948944,0.12499870359897614
119,,0.9934888379250779,-0.0011027199331997716,0.12497798353433609,0.12497802823781967,0.12497798353433609,0.12497798353433609,0.1251540631055832,0.12497798353433609,0.12497798353433609,0.12497798353433609
120,,0.9938224091430353,0.00033570103483508847,0.09273388236761093,0.09273388236761093,0.14807486534118652,0.09273388236761093,0.09273388236761093,0.09273388236761093,0.09273653477430344,0.2955191731452942
121,,0.9939062871287326,8.439580905012175e-05,0.04909124597907066,0.049089718610048294,0.6108697652816772,0.049089718610048294,0.049552109092473984,0.04909011721611023,0.09412752091884613,0.04908972233533859
122,,0.9922954505011156,-0.0016220275617235172,0.16063866019248962,0.14312125742435455,0.2152332216501236,0.011569349095225334,0.08368197083473206,0.10525529086589813,0.011610427871346474,0.26888981461524963
123,,0.9970712652153038,0.004801350953729361,0.01688363589346409,0.05126660689711571,0.37006741762161255,0.019253868609666824,0.017059307545423508,0.168028324842453,0.22566935420036316,0.1317715048789978
124,,1.0005341814133508,0.0034670707098296218,0.03963166102766991,0.7202440500259399,0.039631687104701996,0.0396866537630558,0.03965412825345993,0.039636094123125076,0.041884101927280426,0.03963165357708931
125,,1.0000148406050435,-0.0005191982943260926,0.07265499234199524,0.07265499234199524,0.07265499234199524,0.07265499234199524,0.07265499234199524,0.07265499234199524,0.07265499234199524,0.4914150536060333
126,,1.0016314810021558,0.0016153110878546295,0.023799285292625427,0.044911954551935196,0.4764547049999237,0.049017030745744705,0.023801349103450775,0.3344176709651947,0.023799007758498192,0.02379901148378849
127,,0.9969234678682602,-0.004711425968458329,0.03569583594799042,0.03530501201748848,0.1938801109790802,0.40312981605529785,0.023863309994339943,0.2872101664543152,0.010459525510668755,0.010456317104399204
128,,0.995918680205713,-0.0010083967249115608,0.022488176822662354,0.022488178685307503,0.022488178685307503,0.624284029006958,0.02454417385160923,0.022488176822662354,0.022488176822662354,0.23873087763786316
