Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-234.91568,51.95145,-144.03687,-319.60654,1000.0,0,,,,,,,,,,
,,,,,999,-285.0508,1000,,,,,,,,
,,,,,1999,-219.13467,1000,,,,,,,,
,,,,,2999,-470.03726,1000,,,,,,,,
,,,,,3999,-129.08441,1000,,,,,,,,
,,,,,4999,-389.1348,1000,,,,,,,,
-218.48996,51.21783,-142.7446,-310.53928,1000.0,5000,,,,,,,,,,
,,,,,5999,-243.9864,1000,,,,,,,,
,,,,,6999,-169.13094,1000,,,,,,,,
,,,,,7999,-232.13231,1000,,,,,,,,
,,,,,8999,-158.58862,1000,,,,,,,,
,,,,,9999,-134.6927,1000,,,,,,,,
-253.52116,64.28491,-144.90004,-402.5764,1000.0,10000,,,-3.75422739982605,3.7231483459472656,12.534494400024414,-0.013518650084733963,3.404181957244873,0.0003,0.0003,1
,,,,,10999,-351.34854,1000,,,,,,,,
,,,,,11000,,,-24.42205047607422,4.095683574676514,0.9699007272720337,20.29127311706543,20.355022430419922,0.0003,0.0003,1
,,,,,11999,-318.4547,1000,,,,,,,,
,,,,,12000,,,-41.768470764160156,4.053948402404785,1.335500955581665,37.64476013183594,37.838592529296875,0.0003,0.0003,1
,,,,,12999,-180.76346,1000,,,,,,,,
,,,,,13000,,,-58.53611373901367,4.054247856140137,1.5629037618637085,54.36381912231445,54.466224670410156,0.0003,0.0003,1
,,,,,13999,-205.4138,1000,,,,,,,,
,,,,,14000,,,-75.14606475830078,4.0814313888549805,1.666072130203247,70.96063995361328,71.06095886230469,0.0003,0.0003,1
,,,,,14999,-252.58759,1000,,,,,,,,
-187.85172,45.796932,-74.20313,-244.59532,1000.0,15000,,,-90.33771514892578,4.0497636795043945,1.5989235639572144,86.06477355957031,86.17356872558594,0.0003,0.0003,1
,,,,,15999,-176.87012,1000,,,,,,,,
,,,,,16000,,,-104.84024047851562,4.026751518249512,1.4783904552459717,100.5848159790039,100.71121978759766,0.0003,0.0003,1
,,,,,16999,-175.6093,1000,,,,,,,,
,,,,,17000,,,-119.03105163574219,3.9543652534484863,1.4972337484359741,114.83588409423828,114.94503784179688,0.0003,0.0003,1
,,,,,17999,-137.51802,1000,,,,,,,,
,,,,,18000,,,-133.0030059814453,4.001879692077637,1.49973726272583,128.8417510986328,128.8040771484375,0.0003,0.0003,1
,,,,,18999,-179.25471,1000,,,,,,,,
,,,,,19000,,,-145.64138793945312,3.961580991744995,1.7471719980239868,141.36839294433594,141.34979248046875,0.0003,0.0003,1
,,,,,19999,-100.33049,1000,,,,,,,,
